"variavel","unidade","n","n_ausentes","media","desvio_padrao","minimo","p25","mediana","p75","maximo"
"cov100k","casos por 100 mil habitantes",184,0,1794.5563254496,1231.03346313994,86.2118512558193,857.062248762546,1575.94739345524,2332.97782009539,7582.55743854243
"obito100k","obitos por 100 mil habitantes",184,0,48.2928825770893,32.5551510429614,0,23.1089354695173,42.8277638003667,74.4595680339623,138.198852001729
"letal","proporcao (obitos/casos)",184,0,0.0314504264031565,0.0232595765251437,0,0.0168564943703114,0.0268636790070001,0.0403448275862069,0.166666666666667
"pop","habitantes",184,0,49630.8586956522,198896.644376361,4844,14240.75,21999.5,40997.25,2669342
"area","km2",184,0,809.208918478261,752.775107895006,72.675,288.17925,610.6285,977.48175,4262.298
"densidade","habitantes/km2",184,0,125.989075084398,652.578273538828,7.13493971654618,24.27482030235,39.1983548217317,74.0437393580777,8545.91439813288
"pibpc","R$/habitante",184,0,10761.0631521739,7984.2446546979,5351.75,7018.405,8275.69,11757.8625,87086.02
"idhm","indice 0-1",184,0,0.616630434782609,0.031670681617655,0.54,0.59875,0.612,0.63225,0.754
"idm","indice IPECE",184,0,24.9382608695652,9.51287210871206,9.05,18.99,22.705,28.5525,65.5
"desp.saude","R$ por 100 mil habitantes",184,0,66595788.8371918,20092837.7447794,19643436.2400751,54270138.2294728,62906038.0378079,75083005.5827695,198486365.311528
"desp.educ","R$ por 100 mil habitantes",184,0,96593085.6837052,25036453.6584866,37592999.4050752,82297825.9008214,91393494.481829,105390357.505627,210694228.918714
"ideb5","indice IDEB",184,0,6.36630434782609,0.863248050379336,4.7,5.8,6.2,6.725,9.4
"ideb9","indice IDEB",184,0,5.23532608695652,0.599363872414904,3.9,4.9,5.1,5.5,7.8
"ideb3","indice IDEB",184,0,4.35434782608696,0.381659603860943,3.5,4.1,4.4,4.6,5.6
"tax.agua","percentual",184,0,97.762149818209,2.73386112037678,87.3307573901297,97.597781945787,98.7379563328067,99.5130740500297,100
"energia100k","MWh por 100 mil habitantes",184,0,109623.549687774,64090.7902220698,23356.4743839096,70754.7063928743,87100.2650460758,121844.618317174,451049.311798277
"tax.hom","homicidios por 100 mil habitantes",184,0,22.8967934782609,19.6123241347894,0,10.5925,18.605,29.535,122.77
"eleitas.fem","percentual",184,0,31.8465217391304,2.66071293078965,26.67,30.2825,31.58,33.165,48.15
"bolsaf","percentual",184,0,46.0527252522214,8.91085625107659,22.5613895865871,40.4640473133566,47.2773821598635,52.2938177579598,64.0271245761785
"sus1k","unidades por mil habitantes",184,0,0.721847826086957,0.271717586221273,0.12,0.54,0.68,0.87,1.71
"leitos1k","leitos por mil habitantes",184,0,1.43532205035707,0.948920332540662,0,0.866781255075,1.2399575157,1.825459248225,6.1106274694
"prof1k","profissionais por mil habitantes",184,0,9.16304569067772,2.15753249330658,5.2883115177,7.73462641945,8.80276033085,10.289822362,20.5584946093
"metrop","indicador 0/1",184,0,0.103260869565217,0.305129583493205,0,0,0,0,1
"semiarido","indicador 0/1",184,0,0.728260869565217,0.446069926875403,0,0,1,1,1
"pop.rural","proporcao 0-1",184,0,0.436155299010637,0.156817603316088,0,0.351997957573054,0.453688091771944,0.546069733273649,0.756156267357897
"aliadogov","indicador 0/1",184,0,0.505434782608696,0.501334640687194,0,0,1,1,1
"votos","proporcao 0-1",184,0,0.581891847826087,0.125174722866297,0.3377,0.514775,0.5441,0.60795,1
"ivs.infra","indice 0-1",184,0,0.279929347826087,0.11097250389325,0.056,0.19425,0.267,0.341,0.621
"ivs.capital","indice 0-1",184,0,0.508695652173913,0.0582274115550652,0.334,0.47375,0.5075,0.553,0.637
"ivs.renda","indice 0-1",184,0,0.525369565217391,0.0686330573047798,0.283,0.4885,0.527,0.56825,0.782
"emprego","proporcao 0-1",184,0,0.0893754278877758,0.0659522429503143,0.0253164556962025,0.05968391182352,0.0723425050723378,0.09372870983693,0.731564027005856
"ex.pobr","proporcao 0-1",184,0,0.271671195652174,0.0904940838973495,0.0546,0.21395,0.27555,0.3399,0.4749
"imuni","proporcao (pode exceder 1; documentado como pendencia)",184,0,0.85643512162413,0.133817706417756,0.196564885496183,0.806079990063346,0.888156025009473,0.952671665351223,1.06510416666667
"idosos","proporcao 0-1",184,0,0.136931157725316,0.0259215965812923,0.0541381598517264,0.118899508136585,0.134442459794526,0.158471747960558,0.216350555918901
"int.circ","internacoes por 100 mil habitantes",184,0,411.386037419689,167.274020839418,135.50841715745,309.577366688636,367.81582747161,474.933371567007,1115.43765717531
"int.resp","internacoes por 100 mil habitantes",184,0,657.337863442864,385.426896559282,135.998912008704,398.582424919722,546.37540701355,855.570103504082,2754.85590961026
"int.diab","internacoes por 100 mil habitantes",184,0,68.1583556707252,47.1206871391275,6.10798924993892,36.6488980022214,57.9189471441929,85.5703046337557,284.654532907789
"int.asma","internacoes por 100 mil habitantes",184,0,27.7423150316384,56.5226722831296,0,5.70999409512497,13.5481565273289,30.4784363793921,640.869635758903
"recursofed","R$ declarados por 100 mil habitantes",184,0,8964198.70252946,30011443.6750188,225330.22210857,2744378.04567188,4951907.50553557,8939333.08293762,405048949.11707
"auxem","R$ declarados por 100 mil habitantes",184,0,116565459.619899,173048020.659345,3128724.24438222,90927281.1480087,97607590.1565979,106390009.938436,2294432962.72073
