"numero","codigo","nome_variavel"
1,"z_log_casos100k","Casos de COVID-19 por 100 mil habitantes (log)"
2,"z_log_obitos100k","Óbitos de COVID-19 por 100 mil habitantes (log)"
3,"z_logit_letal","Letalidade por COVID-19 (logit)"
4,"z_pop","População estimada"
5,"z_area","Área territorial"
6,"z_densidade","Densidade demográfica"
7,"z_pibpc","Produto Interno Bruto per capita"
8,"z_idhm","Índice de Desenvolvimento Humano Municipal"
9,"z_idm","Índice de Desenvolvimento Municipal"
10,"z_desp.saude","Despesa municipal com saúde e saneamento"
11,"z_desp.educ","Despesa municipal com educação e cultura"
12,"z_ideb5","IDEB dos anos iniciais do ensino fundamental"
13,"z_ideb9","IDEB dos anos finais do ensino fundamental"
14,"z_ideb3","IDEB do 3º ano do ensino médio"
15,"z_tax.agua","Cobertura urbana de abastecimento de água"
16,"z_energia100k","Consumo de energia elétrica por 100 mil habitantes"
17,"z_tax.hom","Taxa de homicídios"
18,"z_eleitas.fem","Proporção de mulheres eleitas"
19,"z_bolsaf","População beneficiária do Programa Bolsa Família"
20,"z_sus1k","Unidades de saúde vinculadas ao SUS"
21,"z_leitos1k","Leitos vinculados ao SUS"
22,"z_prof1k","Profissionais de saúde vinculados ao SUS"
23,"metrop","Município integrante de região metropolitana"
24,"semiarido","Município integrante do semiárido"
25,"z_pop.rural","Proporção da população rural"
26,"aliadogov","Alinhamento partidário do prefeito com o governo federal"
27,"z_votos","Proporção de votos válidos do prefeito eleito"
28,"z_ivs.infra","IVS Infraestrutura Urbana"
29,"z_ivs.capital","IVS Capital Humano"
30,"z_ivs.renda","IVS Renda e Trabalho"
31,"z_emprego","Proporção da população em empregos formais"
32,"z_ex.pobr","Proporção da população em extrema pobreza"
33,"z_imuni","Cobertura média de imunização em menores de um ano"
34,"z_idosos","Proporção da população com 60 anos ou mais"
35,"z_int.circ","Internações por doenças do aparelho circulatório"
36,"z_int.resp","Internações por doenças do aparelho respiratório"
37,"z_int.diab","Internações por diabetes mellitus"
38,"z_int.asma","Internações por asma"
