"","z_log_casos100k","z_log_obitos100k","z_logit_letal","z_pop","z_area","z_densidade","z_pibpc","z_idhm","z_idm","z_desp.saude","z_desp.educ","z_ideb5","z_ideb9","z_ideb3","z_tax.agua","z_energia100k","z_tax.hom","z_eleitas.fem","z_bolsaf","z_sus1k","z_leitos1k","z_prof1k","metrop","semiarido","z_pop.rural","aliadogov","z_votos","z_ivs.infra","z_ivs.capital","z_ivs.renda","z_emprego","z_ex.pobr","z_imuni","z_idosos","z_int.circ","z_int.resp","z_int.diab","z_int.asma"
"z_log_casos100k",1,0.64217634943284,-0.369566882488327,0.0563564493375285,-0.058840807868123,0.0557366051797608,0.213804367054134,0.232157406172144,0.3697715556351,0.0418797237063724,-0.0645959632603975,0.12328599086545,0.120530343330173,0.0150948246929557,-0.122570599918781,0.229914876293724,0.157439641533821,-0.0278425882830438,-0.16798946489814,-0.0928034494348132,-0.250997376786779,-0.0182694304559493,0.106548980004129,-0.342180401674158,-0.196247865425767,-0.0154998487858059,-0.00258373494433508,0.152845338830258,-0.108675761148403,-0.302736810426168,0.196945629018457,-0.193550464432014,0.049237924779929,-0.373516324213621,-0.208795034838357,-0.117839878188004,-0.162774514746798,-0.0605273752965166
"z_log_obitos100k",0.64217634943284,1,0.47474791082834,0.175539685698796,-0.00863171162699535,0.17451969737373,0.241328694926633,0.32592553167302,0.438489078655512,-0.00840290119972746,-0.141120997261509,0.0114201485482851,-0.0385050018678795,0.0964923260742979,-0.13643052814368,0.247526890486913,0.166193554775499,-0.200246148033158,-0.170270586072736,-0.257616891227528,-0.20840173002249,-0.104133080301174,0.320097678832352,-0.375699542922949,-0.32805476904776,0.13550079640089,-0.0818270708814076,0.127784660650288,-0.0883064602464925,-0.364977109264423,0.211652515618628,-0.320747082597128,-0.120961363365725,-0.406483790457781,-0.166523561051655,-0.197581968403281,-0.184868164208497,-0.0516164015202609
"z_logit_letal",-0.369566882488327,0.47474791082834,1,0.150951925840871,0.0589595532350955,0.150052045166593,0.0472461677651123,0.128625779678615,0.107140022925564,-0.0602332944056217,-0.0987761197232554,-0.12983499098779,-0.187161595104212,0.100852178464473,-0.0254556407682681,0.0354240191178009,0.0211566561767953,-0.211083335254917,-0.0148612500182835,-0.208297622875178,0.0302133074097626,-0.110344064183935,0.267735061382495,-0.0631577269370249,-0.172687096309146,0.182520826438079,-0.0973102810524812,-0.0169958627678186,0.0190423041921583,-0.0939864654322473,0.0290631558891467,-0.166254160481337,-0.205960620524673,-0.065634204281858,0.0374297552326838,-0.105545166558939,-0.034248440312916,0.00831137219048093
"z_pop",0.0563564493375285,0.175539685698796,0.150951925840871,1,0.00525674878280579,0.969294445512829,0.202239910179787,0.428265175618466,0.409781913321567,0.0273488329738768,-0.205521236098451,-0.0366527796979241,-0.0230615535583605,0.0161745971939286,0.00962863093690054,0.149534241635092,0.0456625174358373,-0.0575192544364283,-0.284831837136625,-0.252498830076769,0.0722367098973658,-0.0235064635569456,0.284820895140116,-0.136000592371621,-0.304087300790548,-0.0690715702677128,-0.0357238627936586,0.0586578395377814,-0.294753414001335,-0.342517698922882,0.288949964925801,-0.265239677222276,-0.0414068642778837,-0.108250547854931,0.0383661617805585,-0.0350536464874165,-0.0677087222065173,0.0371138780160307
"z_area",-0.058840807868123,-0.00863171162699535,0.0589595532350955,0.00525674878280579,1,-0.107088242698319,-0.0848826577575656,-0.0597936681888095,-0.0744309848900349,-0.187109983745824,-0.276402736428323,0.0196081715399348,0.0654574430721643,0.103653590257661,0.0188150292525494,-0.0800489243756123,-0.075090649608022,-0.0555052523549948,-0.0473454228598513,-0.231402018861576,0.0959019684069156,-0.0696692023619662,-0.188921744880578,0.227381117349769,0.0641906175339464,0.0157158253382748,-0.00965393370079485,0.021681508459215,0.0758683373482937,0.196963866617689,-0.137003362710368,0.190209858570715,0.0399408243691087,0.0823601536233367,0.102237049530525,0.162618720665225,0.0795746303126782,0.0157757246125583
"z_densidade",0.0557366051797608,0.17451969737373,0.150052045166593,0.969294445512829,-0.107088242698319,1,0.262806814955891,0.424004992877456,0.422442468902027,0.0768303485023121,-0.151522054054208,-0.0392894813722102,-0.0237930975387471,-0.00692901937207217,0.0178408032409726,0.172526914997854,0.0649630937347747,-0.0448512198200108,-0.289918751199706,-0.219339581552064,0.0447319493436294,-0.00415471991343621,0.336216710160535,-0.180648640222959,-0.325220248664715,-0.0352971238052671,-0.0164797834360869,0.0524961114691872,-0.29852057885984,-0.358744978396014,0.354787843948429,-0.289758971422431,-0.0669367681528977,-0.122480503648926,0.0220944221700047,-0.0665606188831704,-0.0672478109130959,0.023735924090757
"z_pibpc",0.213804367054134,0.241328694926633,0.0472461677651123,0.202239910179787,-0.0848826577575656,0.262806814955891,1,0.505038252565985,0.713981273784269,0.394804479096191,0.152537589244433,-0.00122448415050883,0.0579325431982619,0.0620776672475316,-0.0406920030180364,0.540255461934145,0.267263945618267,-0.0510307466584149,-0.289173756492486,-0.180373334214403,0.00429415678472747,0.253835329495257,0.498418599071839,-0.288118540433442,-0.382311198798903,-0.0068594063861595,0.0907695333218713,0.00756307747788917,-0.300659943009412,-0.471415307183717,0.706935644495363,-0.469670347785924,-0.0953070152738031,-0.331574953816624,0.0566017923139326,-0.0909785006954793,-0.0689552049302827,-0.0208180023896446
"z_idhm",0.232157406172144,0.32592553167302,0.128625779678615,0.428265175618466,-0.0597936681888095,0.424004992877456,0.505038252565985,1,0.681557386582683,0.331575560325841,-0.30407496489046,-0.0566624874456138,0.0401876970318479,0.168533462476343,-0.0267972122452538,0.536904714277878,0.190321855278237,-0.0980790789045233,-0.592451156088966,-0.245963675981152,0.209821817047718,0.253669132688428,0.390184449631444,-0.154518934733008,-0.578839537089772,0.0393617370646809,-0.0208906724028619,-0.201945629759698,-0.748034560374777,-0.750743186225267,0.537514600488497,-0.812513152116542,-0.0574445810675917,-0.243806818646768,0.21340599580844,0.0532226451495323,-0.00193431707884229,0.0610310457627852
"z_idm",0.3697715556351,0.438489078655512,0.107140022925564,0.409781913321567,-0.0744309848900349,0.422442468902027,0.713981273784269,0.681557386582683,1,0.313763987853592,-0.076156120546681,-0.0468227585251765,0.003981484237049,0.193842004331626,-0.062202611452662,0.59156934683833,0.173199406578255,-0.168212926515348,-0.357746853294407,-0.301225282713002,0.114936823936239,0.183373163953373,0.511784507935005,-0.397166449388744,-0.567923107207806,0.0181858688523182,0.0166146245544093,0.0154755536126416,-0.421179602256144,-0.617334134776247,0.670921507140851,-0.622115997394674,-0.0930110868610858,-0.428605919515492,0.130184139094291,0.0327856477975115,-0.00510243998129199,0.0272937164198647
"z_desp.saude",0.0418797237063724,-0.00840290119972746,-0.0602332944056217,0.0273488329738768,-0.187109983745824,0.0768303485023121,0.394804479096191,0.331575560325841,0.313763987853592,1,0.28158688881551,0.0437598373340227,0.0933915578931656,-0.00395054284216097,-0.0516824142148748,0.41133448560121,0.0501065278043825,0.0893885801676276,-0.233658021945733,0.251378165839167,0.409707687626496,0.677472751433387,0.0179879993570542,0.0372831156757961,-0.160115426339721,-0.0232260029514272,0.102885188892708,-0.242463166063672,-0.285163987093726,-0.276491183239593,0.515858856830584,-0.307735349411273,0.0360349168663641,0.0517276269070224,0.29258829266335,0.193692618507329,0.100410128559142,0.0830334078250615
