"variavel","municipio","codigo_ibge","valor"
"cov100k","Acarape",2300150,7582.55743854243
"cov100k","Barroquinha",2302057,4594.79256842245
"cov100k","Chaval",2303907,5478.61351289311
"cov100k","Frecheirinha",2304509,5315.52018192155
"cov100k","Groairas",2304905,5502.34911456451
"cov100k","Moraujo",2308807,5077.94589637781
"cov100k","Sobral",2312908,4714.86347428626
"letal","Barro",2302008,0.101449275362319
"letal","Fortaleza",2304400,0.0874668057663126
"letal","Guaiuba",2304954,0.101214574898785
"letal","Ibaretama",2305266,0.133333333333333
"letal","Penaforte",2310605,0.166666666666667
"letal","Umirim",2313757,0.0905511811023622
"pop","Caucaia",2303709,361400
"pop","Crato",2304202,132123
"pop","Fortaleza",2304400,2669342
"pop","Iguatu",2305506,102498
"pop","Itapipoca",2306405,129358
"pop","Juazeiro do Norte",2307304,274207
"pop","Maracanau",2307650,227886
"pop","Maranguape",2307700,128978
"pop","Pacatuba",2309706,83432
"pop","Quixada",2311306,87728
"pop","Sobral",2312908,208935
"area","Acopiara",2300309,2254.279
"area","Aiuaba",2300408,2438.563
"area","Boa Viagem",2302404,2835.037
"area","Caninde",2302800,3032.39
"area","Crateus",2304103,2981.459
"area","Granja",2304707,2663.174
"area","Independencia",2305605,3222.381
"area","Mombaca",2308500,2115.748
"area","Morada Nova",2308708,2763.971
"area","Parambu",2310308,2313.868
"area","Quixada",2311306,2020.586
"area","Quixeramobim",2311405,3324.987
"area","Santa Quiteria",2312205,4262.298
"area","Sobral",2312908,2068.474
"area","Tamboril",2313203,2014.543
"area","Taua",2313302,4010.618
"densidade","Aquiraz",2301000,167.149068374716
"densidade","Caucaia",2303709,295.443434926417
"densidade","Eusebio",2304285,680.276079068233
"densidade","Fortaleza",2304400,8545.91439813288
"densidade","Horizonte",2305233,419.396226885156
"densidade","Itaitinga",2306256,247.127259477116
"densidade","Juazeiro do Norte",2307304,1059.58158801799
"densidade","Maracanau",2307650,2168.87628365581
"densidade","Maranguape",2307700,221.040093915219
"densidade","Pacajus",2309607,288.46123114293
"densidade","Pacatuba",2309706,626.197123900447
"densidade","Pindoretama",2310852,277.808544838113
"densidade","Uruburetama",2313807,219.818913480885
"pibpc","Aquiraz",2301000,24630.33
"pibpc","Eusebio",2304285,46830.08
"pibpc","Fortaleza",2304400,25356.73
"pibpc","Horizonte",2305233,25783.29
