2026-08-18 23:25:13.774991 : starting loop ... 
2026-08-18 23:25:18.97371 : 1e+05 current draw 
2026-08-18 23:25:24.095063 : 2e+05 current draw 
2026-08-18 23:25:31.452768 : 3e+05 current draw 
2026-08-18 23:25:38.794741 : 4e+05 current draw 
2026-08-18 23:25:45.973273 : 5e+05 current draw 
2026-08-18 23:25:52.82164 : 6e+05 current draw 
2026-08-18 23:25:59.592856 : 7e+05 current draw 
2026-08-18 23:26:06.133627 : 8e+05 current draw 
2026-08-18 23:26:12.705503 : 9e+05 current draw 
2026-08-18 23:26:19.003019 : 1e+06 current draw 
2026-08-18 23:26:25.534589 : 1100000 current draw 
2026-08-18 23:26:31.932369 : 1200000 current draw 
