2026-08-18 23:29:52.985195 : starting loop ... 
2026-08-18 23:29:57.948382 : 1e+05 current draw 
2026-08-18 23:30:02.82869 : 2e+05 current draw 
2026-08-18 23:30:09.074489 : 3e+05 current draw 
2026-08-18 23:30:15.139674 : 4e+05 current draw 
2026-08-18 23:30:21.401081 : 5e+05 current draw 
2026-08-18 23:30:27.826229 : 6e+05 current draw 
2026-08-18 23:30:34.082041 : 7e+05 current draw 
2026-08-18 23:30:40.256308 : 8e+05 current draw 
2026-08-18 23:30:46.278674 : 9e+05 current draw 
2026-08-18 23:30:52.378451 : 1e+06 current draw 
2026-08-18 23:30:58.721885 : 1100000 current draw 
2026-08-18 23:31:04.922971 : 1200000 current draw 
