2026-08-18 23:27:47.296094 : starting loop ... 
2026-08-18 23:27:51.47746 : 1e+05 current draw 
2026-08-18 23:27:55.676648 : 2e+05 current draw 
2026-08-18 23:28:01.756808 : 3e+05 current draw 
2026-08-18 23:28:07.400686 : 4e+05 current draw 
2026-08-18 23:28:12.670318 : 5e+05 current draw 
2026-08-18 23:28:17.905526 : 6e+05 current draw 
2026-08-18 23:28:23.223603 : 7e+05 current draw 
2026-08-18 23:28:28.544015 : 8e+05 current draw 
2026-08-18 23:28:34.071659 : 9e+05 current draw 
2026-08-18 23:28:39.344435 : 1e+06 current draw 
2026-08-18 23:28:44.667579 : 1100000 current draw 
2026-08-18 23:28:49.95829 : 1200000 current draw 
