"variavel","PIP_cadeia_1","PIP_cadeia_2","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"z_idm",0.995981,0.996065,0.996023,0.995981,0.996065,8.3999999999973e-05,0.436829977961909,1
"z_leitos1k",0.97812,0.975775,0.9769475,0.975775,0.97812,0.00234500000000004,-0.247595781086029,0
"metrop",0.971519,0.968865,0.970192,0.968865,0.971519,0.00265400000000005,-0.847960751263351,0
"z_int.circ",0.737789,0.740214,0.7390015,0.737789,0.740214,0.00242500000000001,-0.1345980338054,0
"z_idosos",0.726022,0.731289,0.7286555,0.726022,0.731289,0.00526700000000002,-0.115038827711952,0
"z_ivs.renda",0.650178,0.647747,0.6489625,0.647747,0.650178,0.00243100000000007,-0.118824101795795,0
"z_bolsaf",0.586785,0.592096,0.5894405,0.586785,0.592096,0.00531099999999995,-0.0907521393778806,0
"z_int.asma",0.516723,0.524731,0.520727,0.516723,0.524731,0.0080079999999999,0.0615863576541042,0.999737465
"z_ideb5",0.504619,0.511176,0.5078975,0.504619,0.511176,0.00655699999999992,0.0502368817523601,0.998680945
"z_tax.agua",0.478389,0.488101,0.483245,0.478389,0.488101,0.009712,-0.0422157614430233,0
"z_tax.hom",0.472114,0.47965,0.475882,0.472114,0.47965,0.00753600000000004,0.0446261058444557,0.99901287
"z_sus1k",0.470312,0.47461,0.472461,0.470312,0.47461,0.00429799999999997,0.0501724397031249,0.99995767
"z_ideb9",0.450127,0.451163,0.450645,0.450127,0.451163,0.00103599999999998,0.0356776199435349,0.988739575
"semiarido",0.447561,0.445979,0.44677,0.445979,0.447561,0.00158199999999997,-0.0921455587098511,4.475e-05
"z_pibpc",0.442737,0.446849,0.444793,0.442737,0.446849,0.004112,-0.0526553050698045,0.001287875
"z_ex.pobr",0.420522,0.427515,0.4240185,0.420522,0.427515,0.00699299999999997,0.0665476123043532,0.95209728
"z_ideb3",0.403829,0.401882,0.4028555,0.401882,0.403829,0.00194699999999998,-0.0286434840321267,0.0009802
"z_densidade",0.392595,0.397798,0.3951965,0.392595,0.397798,0.00520299999999996,-0.0285563460090669,0.134959845
"z_emprego",0.390625,0.396341,0.393483,0.390625,0.396341,0.005716,-0.0395259810125479,0.00129485
"z_ivs.infra",0.385538,0.394886,0.390212,0.385538,0.394886,0.00934800000000002,0.0267471244403976,0.996929405
"z_pop",0.385281,0.383724,0.3845025,0.383724,0.385281,0.00155699999999998,-0.0305093375534571,0.09088959
"z_pop.rural",0.363766,0.365468,0.364617,0.363766,0.365468,0.00170200000000004,-0.0273360466369152,0.007220585
"z_auxem",0.356937,0.366152,0.3615445,0.356937,0.366152,0.00921499999999997,0.0301610018115279,0.958359315
"z_imuni",0.354918,0.359061,0.3569895,0.354918,0.359061,0.00414300000000001,0.0178141778128004,0.999936945
"z_prof1k",0.355889,0.357095,0.356492,0.355889,0.357095,0.00120599999999998,0.0228415785727636,0.968677545
"z_recursofed",0.349076,0.360677,0.3548765,0.349076,0.360677,0.011601,0.00552469576209886,0.657719495
"z_eleitas.fem",0.347863,0.359055,0.353459,0.347863,0.359055,0.011192,0.0178246525737016,0.99366588
"z_int.diab",0.34786,0.34955,0.348705,0.34786,0.34955,0.00169000000000002,-0.022019389919859,0.061002795
"z_int.resp",0.325496,0.330704,0.3281,0.325496,0.330704,0.00520799999999999,0.0152516770493291,0.931149005
"z_desp.educ",0.317776,0.321546,0.319661,0.317776,0.321546,0.00377,-0.011177487936103,0.04504941
"z_votos",0.30652,0.312512,0.309516,0.30652,0.312512,0.005992,0.00739505847324433,0.963843865
"z_idhm",0.30458,0.307648,0.306114,0.30458,0.307648,0.00306799999999996,0.00937865187424544,0.74525451
"z_desp.saude",0.302067,0.309847,0.305957,0.302067,0.309847,0.00778000000000001,0.00530999622351448,0.727651235
"z_ivs.capital",0.299138,0.309341,0.3042395,0.299138,0.309341,0.010203,0.00471686285357886,0.708882805
"z_energia100k",0.297839,0.307085,0.302462,0.297839,0.307085,0.00924599999999998,0.00631805031333241,0.791645805
"aliadogov",0.295021,0.30615,0.3005855,0.295021,0.30615,0.011129,-0.0106092447741567,0.041278285
"z_area",0.296479,0.293453,0.294966,0.293453,0.296479,0.00302599999999997,0.00251727353492133,0.67830643
