"variavel","PIP_cadeia_1","PIP_cadeia_2","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"metrop",0.738759,0.724411,0.731585,0.724411,0.738759,0.014348,0.419024319523651,1
"z_eleitas.fem",0.705736,0.687832,0.696784,0.687832,0.705736,0.017904,-0.090020643868785,0
"z_imuni",0.600691,0.581865,0.591278,0.581865,0.600691,0.018826,-0.0579688165592685,0
"aliadogov",0.566583,0.550589,0.558586,0.550589,0.566583,0.015994,0.101694484566751,1
"z_ideb9",0.525571,0.504192,0.5148815,0.504192,0.525571,0.021379,-0.0469850931669669,0
"z_leitos1k",0.505133,0.495361,0.500247,0.495361,0.505133,0.00977200000000006,0.0495743235234814,0.999915005
"z_ivs.capital",0.500282,0.479094,0.489688,0.479094,0.500282,0.021188,0.0586276444700581,0.999867935
"z_sus1k",0.494738,0.47858,0.486659,0.47858,0.494738,0.016158,-0.0394983649875358,2.02e-06
"z_ex.pobr",0.490284,0.469663,0.4799735,0.469663,0.490284,0.020621,-0.0711348074108996,0.001295625
"z_int.resp",0.487295,0.471163,0.479229,0.471163,0.487295,0.016132,-0.0455442145829307,0.00011509
"z_bolsaf",0.487401,0.464855,0.476128,0.464855,0.487401,0.022546,0.0511645833829414,0.99840019
"z_ideb3",0.439876,0.421627,0.4307515,0.421627,0.439876,0.018249,0.0271256523471457,0.999826845
"z_int.circ",0.430699,0.412471,0.421585,0.412471,0.430699,0.018228,0.0287669707462265,0.99720286
"z_area",0.426682,0.409484,0.418083,0.409484,0.426682,0.017198,0.0236343786319271,0.99865451
"z_idm",0.42592,0.408809,0.4173645,0.408809,0.42592,0.017111,-0.0391977910500819,0.02125443
"z_emprego",0.423926,0.404145,0.4140355,0.404145,0.423926,0.019781,-0.0297988385662179,0.0020504
"z_pop",0.409925,0.397042,0.4034835,0.397042,0.409925,0.012883,0.018624067421885,0.829498505
"z_tax.hom",0.409241,0.397429,0.403335,0.397429,0.409241,0.011812,-0.0211224809010053,0.0213481
"z_idhm",0.408984,0.395563,0.4022735,0.395563,0.408984,0.013421,0.0340371894930541,0.91302733
"z_ivs.infra",0.40885,0.390088,0.399469,0.390088,0.40885,0.018762,-0.0172099823717218,0.021990935
"z_densidade",0.404612,0.39229,0.398451,0.39229,0.404612,0.012322,0.021841720780202,0.88433924
"z_auxem",0.396241,0.383661,0.389951,0.383661,0.396241,0.01258,-0.0461710155085522,0.04600584
"z_energia100k",0.3936,0.377357,0.3854785,0.377357,0.3936,0.016243,-0.0146788645611384,0.029205645
"z_ideb5",0.393482,0.375546,0.384514,0.375546,0.393482,0.017936,0.000966783089642952,0.646164955
"z_recursofed",0.386309,0.370721,0.378515,0.370721,0.386309,0.015588,0.0394662075301211,0.74894019
"z_prof1k",0.385686,0.371057,0.3783715,0.371057,0.385686,0.0146289999999999,-0.0113563395162547,0.153535775
"z_pop.rural",0.383987,0.368105,0.376046,0.368105,0.383987,0.015882,-0.00684918035002729,0.257564035
"z_pibpc",0.383059,0.364806,0.3739325,0.364806,0.383059,0.018253,-0.00749636040920005,0.336570395
"z_idosos",0.378664,0.363927,0.3712955,0.363927,0.378664,0.014737,0.0103121716181532,0.92791319
"z_ivs.renda",0.380783,0.355822,0.3683025,0.355822,0.380783,0.024961,0.00857373086242842,0.82578859
"z_desp.saude",0.377048,0.359523,0.3682855,0.359523,0.377048,0.017525,0.00839099226618607,0.839468875
"z_votos",0.375074,0.357118,0.366096,0.357118,0.375074,0.017956,-0.00543127395152598,0.12370452
"z_int.asma",0.368853,0.353222,0.3610375,0.353222,0.368853,0.015631,-0.00538731358037745,0.199536815
"z_desp.educ",0.368083,0.353688,0.3608855,0.353688,0.368083,0.014395,0.00378459143408055,0.748166525
"semiarido",0.368706,0.352329,0.3605175,0.352329,0.368706,0.016377,0.010756712522605,0.82363539
"z_int.diab",0.365092,0.35336,0.359226,0.35336,0.365092,0.011732,0.00191047217748243,0.64549302
"z_tax.agua",0.360774,0.340953,0.3508635,0.340953,0.360774,0.019821,-0.00281382973539039,0.17241687
