"variavel","PIP_cadeia_1","PIP_cadeia_2","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"z_idm",0.9125,0.910247,0.9113735,0.910247,0.9125,0.00225299999999995,0.330728357074093,1
"z_leitos1k",0.59431,0.604461,0.5993855,0.59431,0.604461,0.010151,-0.11158335209154,0
"z_idosos",0.53839,0.545534,0.541962,0.53839,0.545534,0.00714399999999993,-0.10241457360437,0
"z_ivs.renda",0.343762,0.339704,0.341733,0.339704,0.343762,0.00405800000000001,-0.0644927912063626,0
"z_eleitas.fem",0.287051,0.286181,0.286616,0.286181,0.287051,0.000869999999999982,-0.0343766098991303,0
"semiarido",0.281734,0.286204,0.283969,0.281734,0.286204,0.00447000000000003,-0.0928153831509256,0
"z_emprego",0.248741,0.256917,0.252829,0.248741,0.256917,0.00817600000000002,-0.0396557561942202,0.000583395
"z_int.circ",0.251289,0.245574,0.2484315,0.245574,0.251289,0.005715,-0.0339329708742009,4.2245e-05
"z_pibpc",0.225573,0.229127,0.22735,0.225573,0.229127,0.003554,-0.0339681070378141,0.014124045
"z_ivs.capital",0.198003,0.197789,0.197896,0.197789,0.198003,0.00021400000000002,0.0292053491086152,0.99451749
"z_int.resp",0.185967,0.188368,0.1871675,0.185967,0.188368,0.00240100000000001,-0.0207090328506194,0.00275085
"aliadogov",0.187548,0.182749,0.1851485,0.182749,0.187548,0.004799,0.032615674404037,1
"z_pop.rural",0.173888,0.172989,0.1734385,0.172989,0.173888,0.000898999999999983,-0.0186819971116702,1.7325e-05
"z_tax.agua",0.160635,0.155326,0.1579805,0.155326,0.160635,0.00530900000000001,-0.012520741442356,0
"z_int.diab",0.155387,0.156773,0.15608,0.155387,0.156773,0.001386,-0.0137301397757775,0.001756255
"z_idhm",0.152577,0.156739,0.154658,0.152577,0.156739,0.004162,0.0228532702729909,0.978597775
"z_desp.educ",0.137216,0.136708,0.136962,0.136708,0.137216,0.000508000000000008,-0.0100774759826866,0.017266325
"z_area",0.125828,0.125963,0.1258955,0.125828,0.125963,0.000134999999999996,0.00828172915716444,0.99841116
"z_ex.pobr",0.123257,0.127814,0.1255355,0.123257,0.127814,0.00455700000000001,-0.011059565400671,0.090705245
"z_recursofed",0.113641,0.116875,0.115258,0.113641,0.116875,0.003234,0.00816130057843117,0.97342853
"z_prof1k",0.114481,0.111584,0.1130325,0.111584,0.114481,0.002897,-0.00524991455852849,0.26271948
"z_ideb5",0.110241,0.10942,0.1098305,0.10942,0.110241,0.000821000000000002,0.00707131903037783,0.99735179
"z_auxem",0.107441,0.107607,0.107524,0.107441,0.107607,0.000165999999999999,0.00381066832511376,0.82204111
"z_sus1k",0.103298,0.108312,0.105805,0.103298,0.108312,0.005014,-0.00492090525303731,0.10895318
"z_imuni",0.100432,0.097153,0.0987925,0.097153,0.100432,0.00327899999999999,-0.00444657718757109,0
"z_desp.saude",0.098742,0.096925,0.0978335,0.096925,0.098742,0.001817,-0.00139682827602164,0.433198405
"z_int.asma",0.096619,0.098897,0.097758,0.096619,0.098897,0.002278,0.00431387056225161,0.89715716
"z_tax.hom",0.091712,0.096662,0.094187,0.091712,0.096662,0.00495,0.00315070488080924,0.90077511
"z_ideb3",0.089265,0.093309,0.091287,0.089265,0.093309,0.00404400000000001,0.00311532660634411,0.935418245
"z_bolsaf",0.090482,0.089095,0.0897885,0.089095,0.090482,0.00138700000000001,-0.00241663356967052,0.198906345
"z_ivs.infra",0.087233,0.090077,0.088655,0.087233,0.090077,0.002844,0.00225132283565798,0.76628533
"z_ideb9",0.087618,0.089541,0.0885795,0.087618,0.089541,0.00192299999999999,-0.00306318837726031,0.178296925
"z_votos",0.089008,0.087311,0.0881595,0.087311,0.089008,0.001697,-0.00256950556411608,0.0636372
"metrop",0.083324,0.089498,0.086411,0.083324,0.089498,0.006174,0.000634556087177857,0.49267491
"z_energia100k",0.086289,0.085492,0.0858905,0.085492,0.086289,0.000797000000000006,0.000233016542574237,0.51667016
"z_densidade",0.085759,0.084885,0.085322,0.084885,0.085759,0.000874,-0.00202138045613059,0.230164475
"z_pop",0.084567,0.08472,0.0846435,0.084567,0.08472,0.000153,0.000236676288134624,0.38574765
