"variavel","PIP","Post Mean","Post SD","Cond.Pos.Sign","PIP_maior_igual_05"
"z_idm",0.996023,0.436829977961909,0.124245943679184,1,TRUE
"z_leitos1k",0.9769475,-0.247595781086029,0.0901895290860579,0,TRUE
"metrop",0.970192,-0.847960751263351,0.309817600860576,0,TRUE
"z_int.circ",0.7390015,-0.1345980338054,0.107910862048313,0,TRUE
"z_idosos",0.7286555,-0.115038827711952,0.100261278060711,0,TRUE
"z_ivs.renda",0.6489625,-0.118824101795795,0.119024959961759,0,TRUE
"z_bolsaf",0.5894405,-0.0907521393778806,0.100255102730996,0,TRUE
"z_int.asma",0.520727,0.0615863576541042,0.0796335231244719,0.999736904645918,TRUE
"z_ideb5",0.5078975,0.0502368817523601,0.074374218270962,0.998681819690548,TRUE
"z_tax.agua",0.483245,-0.0422157614430233,0.0604318006250513,0,FALSE
"z_tax.hom",0.475882,0.0446261058444557,0.0669311352332054,0.999011309613686,FALSE
"z_sus1k",0.472461,0.0501724397031249,0.0738586934151037,0.999957670864219,FALSE
"z_ideb9",0.450645,0.0356776199435349,0.0676319909299151,0.988738365540204,FALSE
"semiarido",0.44677,-0.0921455587098511,0.157549332642699,4.476570421022e-05,FALSE
"z_pibpc",0.444793,-0.0526553050698045,0.0863930560985564,0.00128711482733541,FALSE
"z_ex.pobr",0.4240185,0.0665476123043532,0.119122406886167,0.952090531554661,FALSE
"z_ideb3",0.4028555,-0.0286434840321267,0.0541939875063751,0.000980500201697631,FALSE
"z_densidade",0.3951965,-0.0285563460090669,0.118049375497359,0.134988543413087,FALSE
"z_emprego",0.393483,-0.0395259810125479,0.0773995812253388,0.00129484629569765,FALSE
"z_ivs.infra",0.390212,0.0267471244403976,0.056625531903606,0.99692987627851,FALSE
"z_pop",0.3845025,-0.0305093375534571,0.118715616631132,0.0908888751412019,FALSE
"z_pop.rural",0.364617,-0.0273360466369152,0.0613296527146116,0.00722127539582631,FALSE
"z_auxem",0.3615445,0.0301610018115279,0.102020559356243,0.95836473837316,FALSE
"z_imuni",0.3569895,0.0178141778128004,0.0439478115111032,0.999936971489287,FALSE
"z_prof1k",0.356492,0.0228415785727636,0.063159211604196,0.968679520677,FALSE
"z_recursofed",0.3548765,0.00552469576209886,0.10213634304153,0.657634420024741,FALSE
"z_eleitas.fem",0.353459,0.0178246525737016,0.0454745986519376,0.993664041101005,FALSE
"z_int.diab",0.348705,-0.022019389919859,0.057400379596948,0.0610014187020547,FALSE
"z_int.resp",0.3281,0.0152516770493291,0.052149669647682,0.931149036151173,FALSE
"z_desp.educ",0.319661,-0.011177487936103,0.0443109220549301,0.0450508503699544,FALSE
"z_votos",0.309516,0.00739505847324433,0.0350206775345286,0.96384678355329,FALSE
"z_idhm",0.306114,0.00937865187424544,0.0709733599691064,0.745259933176137,FALSE
"z_desp.saude",0.305957,0.00530999622351448,0.0485159987238515,0.727626756150521,FALSE
"z_ivs.capital",0.3042395,0.00471686285357886,0.0525866737440535,0.70884944054158,FALSE
"z_energia100k",0.302462,0.00631805031333241,0.0473284908542249,0.791618452125176,FALSE
"aliadogov",0.3005855,-0.0106092447741567,0.0660613039924547,0.0413010602865075,FALSE
"z_area",0.294966,0.00251727353492133,0.0370289454437719,0.678296817290332,FALSE
