2026-08-18 23:17:47.678056 : starting loop ... 
2026-08-18 23:17:53.641611 : 1e+05 current draw 
2026-08-18 23:17:59.087189 : 2e+05 current draw 
2026-08-18 23:18:07.069318 : 3e+05 current draw 
2026-08-18 23:18:14.235861 : 4e+05 current draw 
2026-08-18 23:18:21.23319 : 5e+05 current draw 
2026-08-18 23:18:28.02563 : 6e+05 current draw 
2026-08-18 23:18:34.798728 : 7e+05 current draw 
2026-08-18 23:18:41.871468 : 8e+05 current draw 
2026-08-18 23:18:49.131587 : 9e+05 current draw 
2026-08-18 23:18:57.025988 : 1e+06 current draw 
2026-08-18 23:19:04.158586 : 1100000 current draw 
2026-08-18 23:19:10.924563 : 1200000 current draw 
