2026-08-18 23:22:42.481228 : starting loop ... 
2026-08-18 23:22:47.416379 : 1e+05 current draw 
2026-08-18 23:22:52.243454 : 2e+05 current draw 
2026-08-18 23:22:59.108756 : 3e+05 current draw 
2026-08-18 23:23:05.357167 : 4e+05 current draw 
2026-08-18 23:23:11.835818 : 5e+05 current draw 
2026-08-18 23:23:18.141504 : 6e+05 current draw 
2026-08-18 23:23:24.713789 : 7e+05 current draw 
2026-08-18 23:23:31.571928 : 8e+05 current draw 
2026-08-18 23:23:37.798374 : 9e+05 current draw 
2026-08-18 23:23:44.070051 : 1e+06 current draw 
2026-08-18 23:23:50.295967 : 1100000 current draw 
2026-08-18 23:23:56.468101 : 1200000 current draw 
