2026-08-18 23:20:29.603269 : starting loop ... 
2026-08-18 23:20:34.591489 : 1e+05 current draw 
2026-08-18 23:20:39.775224 : 2e+05 current draw 
2026-08-18 23:20:46.931873 : 3e+05 current draw 
2026-08-18 23:20:53.374223 : 4e+05 current draw 
2026-08-18 23:20:58.794872 : 5e+05 current draw 
2026-08-18 23:21:04.392976 : 6e+05 current draw 
2026-08-18 23:21:09.812261 : 7e+05 current draw 
2026-08-18 23:21:15.241998 : 8e+05 current draw 
2026-08-18 23:21:20.744042 : 9e+05 current draw 
2026-08-18 23:21:26.080648 : 1e+06 current draw 
2026-08-18 23:21:31.725984 : 1100000 current draw 
2026-08-18 23:21:37.137298 : 1200000 current draw 
