"variavel","PIP_cadeia_1","PIP_cadeia_2","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"z_idm",0.997037,0.995906,0.9964715,0.995906,0.997037,0.00113099999999999,0.439091228771138,1
"z_leitos1k",0.989586,0.988019,0.9888025,0.988019,0.989586,0.00156699999999999,-0.259679012941004,0
"metrop",0.981572,0.979899,0.9807355,0.979899,0.981572,0.00167300000000004,-0.882011923360971,0
"z_int.circ",0.760076,0.754393,0.7572345,0.754393,0.760076,0.00568299999999999,-0.135786124337982,0
"z_ivs.renda",0.733644,0.733722,0.733683,0.733644,0.733722,7.80000000000225e-05,-0.142992358916402,0
"z_idosos",0.698391,0.699179,0.698785,0.698391,0.699179,0.000788000000000011,-0.0960557275511223,0
"z_bolsaf",0.635899,0.636663,0.636281,0.635899,0.636663,0.000763999999999987,-0.100800346319972,1.57e-06
"z_int.asma",0.579574,0.572992,0.576283,0.572992,0.579574,0.00658200000000009,0.0715818081789062,0.999818945
"z_tax.hom",0.569754,0.56261,0.566182,0.56261,0.569754,0.00714399999999993,0.0581139116022708,0.99990202
"z_tax.agua",0.526444,0.523272,0.524858,0.523272,0.526444,0.00317200000000006,-0.0455183571048602,0
"z_ideb5",0.516757,0.511595,0.514176,0.511595,0.516757,0.005162,0.0460074747041082,0.99793087
"semiarido",0.507434,0.506157,0.5067955,0.506157,0.507434,0.00127700000000008,-0.110190407822851,0
"z_sus1k",0.503823,0.504624,0.5042235,0.503823,0.504624,0.000800999999999941,0.0518276228889017,0.99990286
"z_ideb9",0.49927,0.498932,0.499101,0.498932,0.49927,0.000338000000000005,0.0400038430135683,0.9963585
"z_pibpc",0.492929,0.486932,0.4899305,0.486932,0.492929,0.00599700000000003,-0.059469956886582,0.00130102
"z_ex.pobr",0.491194,0.485084,0.488139,0.485084,0.491194,0.00611,0.0854683015770286,0.968776475
"z_ideb3",0.443885,0.448813,0.446349,0.443885,0.448813,0.00492800000000004,-0.0317573877213736,0.001108995
"z_densidade",0.433278,0.440456,0.436867,0.433278,0.440456,0.00717800000000002,-0.0296135467608145,0.172126615
"z_emprego",0.43215,0.429708,0.430929,0.429708,0.43215,0.002442,-0.0441442999314498,0.00111529
"z_pop",0.42818,0.431054,0.429617,0.42818,0.431054,0.00287399999999999,-0.0369505596594984,0.0799998
"z_ivs.infra",0.422947,0.428602,0.4257745,0.422947,0.428602,0.00565499999999997,0.0289999812762865,0.99760655
"z_int.diab",0.410894,0.415035,0.4129645,0.410894,0.415035,0.00414100000000001,-0.0307007336885613,0.023087915
"z_prof1k",0.410145,0.409886,0.4100155,0.409886,0.410145,0.000259000000000009,0.0292928343837033,0.98857956
"z_pop.rural",0.4059,0.409651,0.4077755,0.4059,0.409651,0.003751,-0.0312194146778331,0.005157075
"z_eleitas.fem",0.384386,0.388157,0.3862715,0.384386,0.388157,0.00377099999999997,0.0175979884448977,0.990540375
"z_imuni",0.380771,0.382701,0.381736,0.380771,0.382701,0.00192999999999999,0.0160814084452395,0.99975908
"z_int.resp",0.366937,0.36331,0.3651235,0.36331,0.366937,0.00362699999999999,0.0167462346029654,0.93846861
"z_desp.educ",0.353423,0.356659,0.355041,0.353423,0.356659,0.00323600000000002,-0.0109477678257031,0.053447205
"z_votos",0.349569,0.343213,0.346391,0.343213,0.349569,0.00635600000000003,0.00879803406736814,0.98299289
"z_idhm",0.342507,0.347931,0.345219,0.342507,0.347931,0.00542399999999998,0.0125282930854807,0.777224035
"z_ivs.capital",0.344159,0.342517,0.343338,0.342517,0.344159,0.00164199999999998,0.00399123313232861,0.69337445
"z_desp.saude",0.337726,0.340064,0.338895,0.337726,0.340064,0.00233799999999995,0.00552853660220624,0.676612565
"z_energia100k",0.332194,0.341399,0.3367965,0.332194,0.341399,0.00920500000000002,0.00798629296284344,0.81536717
"z_area",0.32897,0.330238,0.329604,0.32897,0.330238,0.00126799999999999,0.00183553338830975,0.640850875
"aliadogov",0.330244,0.328361,0.3293025,0.328361,0.330244,0.00188299999999997,-0.0122631016808365,0.029526375
