"variavel","PIP_cadeia_1","PIP_cadeia_2","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"metrop",0.785967,0.775882,0.7809245,0.775882,0.785967,0.010085,0.451669191960303,1
"z_eleitas.fem",0.746224,0.742034,0.744129,0.742034,0.746224,0.00419000000000003,-0.0937149866340926,0
"z_imuni",0.637299,0.633665,0.635482,0.633665,0.637299,0.00363399999999992,-0.0597886265823868,0
"aliadogov",0.620046,0.612235,0.6161405,0.612235,0.620046,0.00781100000000001,0.111601865264996,1
"z_ideb9",0.570006,0.561142,0.565574,0.561142,0.570006,0.00886399999999998,-0.0521519070167464,0
"z_ivs.capital",0.56575,0.563068,0.564409,0.563068,0.56575,0.00268199999999996,0.0716600599772127,0.999989345
"z_leitos1k",0.565386,0.561709,0.5635475,0.561709,0.565386,0.00367700000000004,0.0561253009301314,0.99995122
"z_ex.pobr",0.547845,0.54539,0.5466175,0.54539,0.547845,0.00245499999999998,-0.0848093977991453,0.0012323
"z_int.resp",0.537343,0.535701,0.536522,0.535701,0.537343,0.00164200000000003,-0.0529070302878498,9.037e-05
"z_sus1k",0.535112,0.532088,0.5336,0.532088,0.535112,0.00302400000000003,-0.0430660600550765,9.35e-07
"z_bolsaf",0.531809,0.525175,0.528492,0.525175,0.531809,0.00663400000000003,0.0564153961894557,0.99890082
"z_area",0.486244,0.478476,0.48236,0.478476,0.486244,0.007768,0.0305701056012789,0.999620025
"z_ideb3",0.484125,0.478572,0.4813485,0.478572,0.484125,0.00555300000000003,0.030619067722002,0.999825315
"z_int.circ",0.479971,0.469891,0.474931,0.469891,0.479971,0.01008,0.0342941612663217,0.997221525
"z_emprego",0.466269,0.468821,0.467545,0.466269,0.468821,0.002552,-0.035455674212406,0.00199883
"z_tax.hom",0.454473,0.457516,0.4559945,0.454473,0.457516,0.00304299999999996,-0.0233853137148712,0.011230955
"z_idm",0.457014,0.454888,0.455951,0.454888,0.457014,0.00212599999999996,-0.0395894357355909,0.02104176
"z_pop",0.451463,0.456172,0.4538175,0.451463,0.456172,0.00470900000000002,0.020847485288595,0.82186035
"z_idhm",0.452773,0.45257,0.4526715,0.45257,0.452773,0.000203000000000009,0.0382093121829192,0.90432544
"z_ivs.infra",0.448252,0.450948,0.4496,0.448252,0.450948,0.00269600000000003,-0.0220988299491821,0.01392836
"z_densidade",0.447356,0.444751,0.4460535,0.444751,0.447356,0.00260499999999997,0.0252481386078971,0.878159425
"z_ideb5",0.431499,0.43038,0.4309395,0.43038,0.431499,0.00111900000000004,0.000959684012947921,0.66929853
"z_energia100k",0.428467,0.432778,0.4306225,0.428467,0.432778,0.00431100000000001,-0.0193658607761537,0.013609135
"z_prof1k",0.425452,0.426486,0.425969,0.425452,0.426486,0.00103399999999998,-0.011979917890259,0.155578975
"z_pibpc",0.422024,0.424181,0.4231025,0.422024,0.424181,0.00215699999999996,-0.00836170363511091,0.325334885
"z_pop.rural",0.414534,0.419323,0.4169285,0.414534,0.419323,0.00478899999999999,-0.00528254367878364,0.422306945
"z_idosos",0.416047,0.415689,0.415868,0.415689,0.416047,0.000358000000000025,0.00909906403944845,0.897597295
"z_ivs.renda",0.411268,0.415438,0.413353,0.411268,0.415438,0.00416999999999995,0.0101149666682372,0.8428691
"z_votos",0.41385,0.41103,0.41244,0.41103,0.41385,0.00281999999999999,-0.0050583058104893,0.25790055
"z_desp.saude",0.410933,0.410166,0.4105495,0.410166,0.410933,0.000767000000000018,0.0123613428763427,0.86894597
"semiarido",0.407811,0.409171,0.408491,0.407811,0.409171,0.00136000000000003,0.0135151790545441,0.869616275
"z_desp.educ",0.407503,0.404631,0.406067,0.404631,0.407503,0.00287199999999999,0.00373627933641279,0.74252601
"z_int.diab",0.404705,0.405997,0.405351,0.404705,0.405997,0.00129200000000002,0.00232672644582826,0.65999104
"z_int.asma",0.408205,0.402467,0.405336,0.402467,0.408205,0.00573799999999997,-0.0049918131204353,0.20391186
"z_tax.agua",0.402211,0.40024,0.4012255,0.40024,0.402211,0.001971,-0.00307530968324527,0.17383502
