"variavel","PIP_cadeia_1","PIP_cadeia_2","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"z_idm",0.909946,0.904884,0.907415,0.904884,0.909946,0.00506200000000001,0.326500884618878,1
"z_leitos1k",0.618624,0.620974,0.619799,0.618624,0.620974,0.00235000000000007,-0.11487182395155,0
"z_idosos",0.531126,0.530783,0.5309545,0.530783,0.531126,0.000342999999999982,-0.0967787463574061,0
"z_ivs.renda",0.370056,0.378323,0.3741895,0.370056,0.378323,0.00826700000000002,-0.0719047986023899,0
"z_eleitas.fem",0.309867,0.304981,0.307424,0.304981,0.309867,0.004886,-0.0370418421483613,0
"semiarido",0.306042,0.305849,0.3059455,0.305849,0.306042,0.000192999999999999,-0.0991655889962279,0
"z_emprego",0.270647,0.264666,0.2676565,0.264666,0.270647,0.00598100000000001,-0.0420813218091331,0.00073114
"z_int.circ",0.250632,0.253919,0.2522755,0.250632,0.253919,0.00328699999999998,-0.0335377867541369,3.3475e-05
"z_pibpc",0.237123,0.237585,0.237354,0.237123,0.237585,0.00046199999999999,-0.0352239562032391,0.01338457
"z_ivs.capital",0.209979,0.213682,0.2118305,0.209979,0.213682,0.00370300000000001,0.0311166479453017,0.99392073
"aliadogov",0.198758,0.194825,0.1967915,0.194825,0.198758,0.00393299999999999,0.0340717205569205,1
"z_int.resp",0.197039,0.196085,0.196562,0.196085,0.197039,0.000953999999999983,-0.0214669131805945,0.00228757
"z_pop.rural",0.182673,0.182885,0.182779,0.182673,0.182885,0.00021199999999999,-0.019369139645664,1.0945e-05
"z_int.diab",0.171497,0.168571,0.170034,0.168571,0.171497,0.00292600000000001,-0.0152368696555359,0.00030544
"z_tax.agua",0.170503,0.165533,0.168018,0.165533,0.170503,0.00496999999999997,-0.013233074222165,0
"z_idhm",0.168993,0.166154,0.1675735,0.166154,0.168993,0.00283900000000001,0.0247278893289835,0.978382605
"z_desp.educ",0.147389,0.144499,0.145944,0.144499,0.147389,0.00289,-0.01037403280767,0.02042812
"z_ex.pobr",0.137276,0.138315,0.1377955,0.137276,0.138315,0.00103899999999998,-0.0118001601980419,0.099922975
"z_area",0.133176,0.140398,0.136787,0.133176,0.140398,0.00722200000000001,0.00914983213082786,0.99833905
"z_ideb5",0.117167,0.117896,0.1175315,0.117167,0.117896,0.000729000000000007,0.00693789315103644,0.99624009
"z_sus1k",0.115975,0.117232,0.1166035,0.115975,0.117232,0.00125700000000001,-0.00535094341332349,0.10600437
"z_prof1k",0.119439,0.113048,0.1162435,0.113048,0.119439,0.00639100000000001,-0.00444208035853177,0.316655575
"z_imuni",0.113722,0.109644,0.111683,0.109644,0.113722,0.004078,-0.00510578371615685,0
"z_int.asma",0.106325,0.11523,0.1107775,0.106325,0.11523,0.008905,0.00531824700661136,0.910436295
"z_desp.saude",0.105236,0.104322,0.104779,0.104322,0.105236,0.000913999999999998,-0.000900158147454,0.47665587
"z_ideb3",0.104397,0.103776,0.1040865,0.103776,0.104397,0.00062100000000001,0.00341721848917616,0.92881171
"z_tax.hom",0.100887,0.105584,0.1032355,0.100887,0.105584,0.00469699999999999,0.00386029069628721,0.956084725
"z_ivs.infra",0.102455,0.099047,0.100751,0.099047,0.102455,0.00340800000000001,0.00252221257277112,0.75896693
"z_votos",0.101641,0.097283,0.099462,0.097283,0.101641,0.004358,-0.002677198682661,0.08565887
"z_bolsaf",0.098377,0.098471,0.098424,0.098377,0.098471,9.39999999999969e-05,-0.00266209914014056,0.19598065
"z_ideb9",0.095827,0.09885,0.0973385,0.095827,0.09885,0.003023,-0.00290104496450455,0.19482079
"metrop",0.096296,0.091934,0.094115,0.091934,0.096296,0.004362,-0.00096804978846421,0.43109875
"z_densidade",0.091652,0.094744,0.093198,0.091652,0.094744,0.003092,-0.00231351599099756,0.213698615
"z_pop",0.092201,0.093991,0.093096,0.092201,0.093991,0.00179,8.77159757586015e-05,0.36355634
"z_energia100k",0.091936,0.089399,0.0906675,0.089399,0.091936,0.002537,0.00027613849848796,0.52072588
