"variavel","PIP","Post Mean","Post SD","Cond.Pos.Sign","PIP_maior_igual_05"
"z_idm",0.9964715,0.439091228771138,0.125454614833859,1,TRUE
"z_leitos1k",0.9888025,-0.259679012941004,0.0847648816826275,0,TRUE
"metrop",0.9807355,-0.882011923360971,0.29882808623678,0,TRUE
"z_int.circ",0.7572345,-0.135786124337982,0.106232418396012,0,TRUE
"z_ivs.renda",0.733683,-0.142992358916402,0.120791005744755,0,TRUE
"z_idosos",0.698785,-0.0960557275511223,0.0932142734279627,0,TRUE
"z_bolsaf",0.636281,-0.100800346319972,0.102532654245288,1.570942570971e-06,TRUE
"z_int.asma",0.576283,0.0715818081789062,0.0829836097041303,0.99981953557575,TRUE
"z_tax.hom",0.566182,0.0581139116022708,0.0707749512511378,0.999901973755577,TRUE
"z_tax.agua",0.524858,-0.0455183571048602,0.0613269273758089,0,TRUE
"z_ideb5",0.514176,0.0460074747041082,0.0723554784430697,0.997929696950519,TRUE
"semiarido",0.5067955,-0.110190407822851,0.164918624054525,0,TRUE
"z_sus1k",0.5042235,0.0518276228889017,0.0739897161407513,0.99990281752928,TRUE
"z_ideb9",0.499101,0.0400038430135683,0.0697969186673446,0.996358454623032,FALSE
"z_pibpc",0.4899305,-0.059469956886582,0.0901361919533363,0.00130018427906611,FALSE
"z_ex.pobr",0.488139,0.0854683015770286,0.130110614762386,0.968775287613057,FALSE
"z_ideb3",0.446349,-0.0317573877213736,0.0561668244593832,0.00111011758954316,FALSE
"z_densidade",0.436867,-0.0296135467608145,0.129118027087603,0.172139350504478,FALSE
"z_emprego",0.430929,-0.0441442999314498,0.0809674918853201,0.00111503448278023,FALSE
"z_pop",0.429617,-0.0369505596594984,0.130695815498324,0.0800038176876613,FALSE
"z_ivs.infra",0.4257745,0.0289999812762865,0.0581221220171949,0.997604362773193,FALSE
"z_int.diab",0.4129645,-0.0307007336885613,0.0633502004533943,0.0230867275689557,FALSE
"z_prof1k",0.4100155,0.0292928343837033,0.0674451714634432,0.988579697100573,FALSE
"z_pop.rural",0.4077755,-0.0312194146778331,0.0644311340321997,0.00515602411877369,FALSE
"z_eleitas.fem",0.3862715,0.0175979884448977,0.0459271478213601,0.9905390397498,FALSE
"z_imuni",0.381736,0.0160814084452395,0.0430086598693465,0.999758995440907,FALSE
"z_int.resp",0.3651235,0.0167462346029654,0.0544614304246503,0.938466026611763,FALSE
"z_desp.educ",0.355041,-0.0109477678257031,0.0459872113513562,0.0534543933084207,FALSE
"z_votos",0.346391,0.00879803406736814,0.03701986604364,0.98299465262478,FALSE
"z_idhm",0.345219,0.0125282930854807,0.0768007790450553,0.777196503783815,FALSE
"z_ivs.capital",0.343338,0.00399123313232861,0.0554949411715723,0.693361936193168,FALSE
"z_desp.saude",0.338895,0.00552853660220624,0.0510801113038298,0.676594524000767,FALSE
"z_energia100k",0.3367965,0.00798629296284344,0.050211265755988,0.815323197766396,FALSE
"z_area",0.329604,0.00183553338830975,0.0388770046276192,0.640861456564332,FALSE
"aliadogov",0.3293025,-0.0122631016808365,0.0690308565604146,0.0295306006389262,FALSE
