"especificacao","desfecho","cadeias","iteracoes_retidas","burn_in_total","corr_PMP_minima","corr_PMP_maxima","maior_diferenca_PIP","modelos_visitados_por_cadeia","status"
"principal","casos",2,2e+06,4e+05,0.9931,0.9931,0.00920500000000002,"626868;621715","aprovado"
"principal","obitos",2,2e+06,4e+05,0.9989,0.9989,0.008905,"364696;368967","aprovado"
"principal","letalidade",2,2e+06,4e+05,0.9981,0.9998,0.010085,"589402;585817","aprovado"
"ampliado","casos",2,2e+06,4e+05,0.9789,0.9819,0.011601,"613815;614685","aprovado"
"ampliado","obitos",2,2e+06,4e+05,0.9985,0.9986,0.010151,"343531;340562","aprovado"
"ampliado","letalidade",2,2e+06,4e+05,0.9991,0.9996,0.024961,"555992;554567","aprovado"
"sensibilidade_escalas","casos_nivel",1,5e+05,1e+05,0.9716,0.9716,0,"318887","aprovado"
"sensibilidade_escalas","obitos_nivel",1,5e+05,1e+05,0.9967,0.9967,0,"138304","aprovado"
"sensibilidade_escalas","obitos_log1p",1,5e+05,1e+05,0.997,0.997,0,"222606","aprovado"
"sensibilidade_escalas","letalidade_nivel",1,5e+05,1e+05,0.9952,0.9952,0,"296344","aprovado"
"sensibilidade_sem_fortaleza","casos",1,5e+05,1e+05,0.9795,0.9795,0,"302476","aprovado"
"sensibilidade_sem_fortaleza","obitos",1,5e+05,1e+05,0.9966,0.9966,0,"198464","aprovado"
"sensibilidade_sem_fortaleza","letalidade",1,5e+05,1e+05,0.9991,0.9991,0,"259369","aprovado"
