"variavel","PIP_cadeia_1","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"metrop",0.98631,0.98631,0.98631,0.98631,0,-0.918395598375552,0
"z_idm",0.912146,0.912146,0.912146,0.912146,0,0.271403763680668,1
"z_leitos1k",0.910162,0.910162,0.910162,0.910162,0,-0.187040356688817,0
"z_ivs.renda",0.854142,0.854142,0.854142,0.854142,0,-0.204167172898604,0
"z_idosos",0.738154,0.738154,0.738154,0.738154,0,-0.112919549871885,0
"z_sus1k",0.702364,0.702364,0.702364,0.702364,0,0.104275800033011,1
"z_int.circ",0.632196,0.632196,0.632196,0.632196,0,-0.0882358938143621,0
"semiarido",0.59343,0.59343,0.59343,0.59343,0,-0.17048269455702,0
"z_pop.rural",0.589634,0.589634,0.589634,0.589634,0,-0.0817979317658113,6.445e-05
"z_ideb5",0.550026,0.550026,0.550026,0.550026,0,0.0571495691399431,0.99840371
"z_ideb9",0.536412,0.536412,0.536412,0.536412,0,0.0541914707107812,0.99899704
"z_ex.pobr",0.454518,0.454518,0.454518,0.454518,0,0.0700132920675059,0.96511469
"z_ideb3",0.428306,0.428306,0.428306,0.428306,0,-0.0299112814452586,0.00068643
"z_int.diab",0.400446,0.400446,0.400446,0.400446,0,-0.0290661441130653,0.00661263
"z_imuni",0.397598,0.397598,0.397598,0.397598,0,0.0230796070032544,1
"z_prof1k",0.392008,0.392008,0.392008,0.392008,0,0.0301664455222313,0.96272015
"z_densidade",0.385552,0.385552,0.385552,0.385552,0,-0.0357905408448023,0.01054073
"z_pop",0.374604,0.374604,0.374604,0.374604,0,-0.0108624091168946,0.3190676
"z_int.asma",0.373322,0.373322,0.373322,0.373322,0,0.0236708606959867,0.96745437
"z_bolsaf",0.362376,0.362376,0.362376,0.362376,0,-0.0226455341259835,0.06164316
"z_ivs.capital",0.356416,0.356416,0.356416,0.356416,0,0.0204409722401539,0.93045767
"z_desp.saude",0.347882,0.347882,0.347882,0.347882,0,-0.0167339833860762,0.07616951
"z_eleitas.fem",0.343556,0.343556,0.343556,0.343556,0,0.0111445533335049,0.95109968
"z_idhm",0.343124,0.343124,0.343124,0.343124,0,-0.0156425609418452,0.19793427
"z_tax.hom",0.341644,0.341644,0.341644,0.341644,0,0.0138580180743469,0.98866071
"z_ivs.infra",0.338054,0.338054,0.338054,0.338054,0,0.0122749527988303,0.95423216
"z_area",0.32396,0.32396,0.32396,0.32396,0,-0.00610681111738803,0.20441413
"z_pibpc",0.323884,0.323884,0.323884,0.323884,0,0.00137285867628146,0.42153364
"z_int.resp",0.317536,0.317536,0.317536,0.317536,0,0.00177659478630615,0.6518316
"z_desp.educ",0.31735,0.31735,0.31735,0.31735,0,-0.00856544218136506,0.08436112
"z_tax.agua",0.31512,0.31512,0.31512,0.31512,0,-0.00283656200661085,0.28008378
"z_emprego",0.311626,0.311626,0.311626,0.311626,0,0.00320854561294148,0.66046479
"z_energia100k",0.30978,0.30978,0.30978,0.30978,0,-0.00230092344275049,0.32412034
"z_votos",0.308606,0.308606,0.308606,0.308606,0,0.00281760678553025,0.75710777
"aliadogov",0.304852,0.304852,0.304852,0.304852,0,0.00289396113186024,0.74438744
