"variavel","PIP_cadeia_1","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"z_imuni",0.706176,0.706176,0.706176,0.706176,0,-0.0815112095971579,0
"metrop",0.705978,0.705978,0.705978,0.705978,0,0.344018554298058,1
"z_eleitas.fem",0.685608,0.685608,0.685608,0.685608,0,-0.0813015726049584,0
"aliadogov",0.579662,0.579662,0.579662,0.579662,0,0.105439626365345,1
"z_ivs.capital",0.577662,0.577662,0.577662,0.577662,0,0.0829926955755922,0.99998615
"z_int.resp",0.56756,0.56756,0.56756,0.56756,0,-0.0689847761200325,0
"z_ideb9",0.542852,0.542852,0.542852,0.542852,0,-0.0484720877143518,0
"z_pop",0.516958,0.516958,0.516958,0.516958,0,0.0677613171900447,0.98857161
"z_emprego",0.49095,0.49095,0.49095,0.49095,0,-0.0537539358352587,0.00105917
"z_densidade",0.485368,0.485368,0.485368,0.485368,0,0.0191169812548622,0.64483443
"z_int.circ",0.47926,0.47926,0.47926,0.47926,0,0.0417640191237043,0.99855611
"z_ex.pobr",0.46843,0.46843,0.46843,0.46843,0,-0.0587397145608926,0.00578528
"z_idhm",0.467372,0.467372,0.467372,0.467372,0,0.0584007802440593,0.95829018
"z_prof1k",0.464358,0.464358,0.464358,0.464358,0,-0.0345439669968107,0.00118874
"z_int.diab",0.449218,0.449218,0.449218,0.449218,0,0.0331865128885448,0.99366455
"z_sus1k",0.445992,0.445992,0.445992,0.445992,0,-0.0261604977173338,0.00148433
"z_bolsaf",0.442658,0.442658,0.442658,0.442658,0,0.033598404446486,0.99392307
"z_area",0.43739,0.43739,0.43739,0.43739,0,0.0263012098274473,0.99974851
"z_ideb3",0.4318,0.4318,0.4318,0.4318,0,0.0239794872663193,0.99860584
"z_idm",0.42354,0.42354,0.42354,0.42354,0,-0.0384339793270304,0.02843179
"z_desp.saude",0.414914,0.414914,0.414914,0.414914,0,0.0288632323975605,0.93239563
"z_ideb5",0.405114,0.405114,0.405114,0.405114,0,-0.00330797514963826,0.60285253
"z_pop.rural",0.404806,0.404806,0.404806,0.404806,0,-0.0179697658693587,0.01721812
"z_energia100k",0.401322,0.401322,0.401322,0.401322,0,-0.0166370149078057,0.03023009
"z_tax.hom",0.400516,0.400516,0.400516,0.400516,0,-0.0166455735126858,0.03482508
"z_ivs.renda",0.394446,0.394446,0.394446,0.394446,0,0.0157511354662118,0.89793787
"z_desp.educ",0.387864,0.387864,0.387864,0.387864,0,0.0110353655318428,0.87965369
"z_votos",0.38773,0.38773,0.38773,0.38773,0,-0.00890884882377586,0.01965801
"z_pibpc",0.385866,0.385866,0.385866,0.385866,0,0.00627975034939528,0.72439137
"z_idosos",0.382406,0.382406,0.382406,0.382406,0,-0.00703581477061463,0.16970445
"z_int.asma",0.378968,0.378968,0.378968,0.378968,0,0.00339147954872335,0.60461569
"z_ivs.infra",0.37476,0.37476,0.37476,0.37476,0,-0.00387699520275907,0.23205251
"z_leitos1k",0.374436,0.374436,0.374436,0.374436,0,-0.000356164216222574,0.47565939
"z_tax.agua",0.369832,0.369832,0.369832,0.369832,0,-0.0029104952650108,0.18985918
"semiarido",0.369266,0.369266,0.369266,0.369266,0,0.0124346062658588,0.85940758
