"variavel","PIP_cadeia_1","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"z_idm",0.953346,0.953346,0.953346,0.953346,0,0.351311573101729,1
"z_leitos1k",0.888892,0.888892,0.888892,0.888892,0,-0.194881353343892,0
"z_eleitas.fem",0.595574,0.595574,0.595574,0.595574,0,-0.0877360675859484,0
"z_emprego",0.502752,0.502752,0.502752,0.502752,0,-0.100704700036719,0.00015515
"z_idosos",0.461864,0.461864,0.461864,0.461864,0,-0.0674792329230916,0
"z_area",0.351744,0.351744,0.351744,0.351744,0,0.0389202135965051,1
"z_ivs.renda",0.34343,0.34343,0.34343,0.34343,0,-0.0561539777411609,0
"z_tax.agua",0.342912,0.342912,0.342912,0.342912,0,-0.035189907280203,0
"z_idhm",0.321086,0.321086,0.321086,0.321086,0,0.0616821005766325,0.99921516
"aliadogov",0.320224,0.320224,0.320224,0.320224,0,0.0613869567741247,1
"z_ivs.capital",0.307326,0.307326,0.307326,0.307326,0,0.0495976601291078,0.99392176
"z_desp.educ",0.275058,0.275058,0.275058,0.275058,0,-0.0247959725503238,0.02047568
"z_pibpc",0.272212,0.272212,0.272212,0.272212,0,-0.0348472208766136,0.01415074
"semiarido",0.21772,0.21772,0.21772,0.21772,0,-0.0411958327536481,0.00019291
"z_int.circ",0.211876,0.211876,0.211876,0.211876,0,-0.0177778208348273,0.00531443
"z_int.resp",0.203688,0.203688,0.203688,0.203688,0,-0.0146262529518895,0.01473823
"z_int.diab",0.1959,0.1959,0.1959,0.1959,0,-0.0133093232704733,0.0009903
"z_pop.rural",0.189044,0.189044,0.189044,0.189044,0,-0.0122933694146924,0.00782887
"z_int.asma",0.181144,0.181144,0.181144,0.181144,0,0.0117507699883116,0.97959634
"z_desp.saude",0.175362,0.175362,0.175362,0.175362,0,0.00900648189853768,0.85492866
"z_imuni",0.171334,0.171334,0.171334,0.171334,0,-0.00748265845596547,0
"z_ex.pobr",0.167072,0.167072,0.167072,0.167072,0,-0.00433423732376886,0.37128903
"z_prof1k",0.166692,0.166692,0.166692,0.166692,0,-0.00385606800705838,0.42249178
"z_ideb3",0.165268,0.165268,0.165268,0.165268,0,0.00679304065021512,0.98267057
"z_bolsaf",0.164452,0.164452,0.164452,0.164452,0,-0.00743383566864652,0.07827208
"metrop",0.159776,0.159776,0.159776,0.159776,0,-0.0224887241486513,0.07823453
"z_sus1k",0.158732,0.158732,0.158732,0.158732,0,-0.00296499586601065,0.35062873
"z_tax.hom",0.15576,0.15576,0.15576,0.15576,0,0.00396956337210093,0.90504622
"z_ideb5",0.15431,0.15431,0.15431,0.15431,0,0.0054218267771891,0.96495366
"z_votos",0.153988,0.153988,0.153988,0.153988,0,0.00286892738784342,0.81032288
"z_ivs.infra",0.15261,0.15261,0.15261,0.15261,0,-0.00350845916312299,0.19623878
"z_densidade",0.15132,0.15132,0.15132,0.15132,0,-0.00158001105387824,0.27227068
"z_pop",0.14907,0.14907,0.14907,0.14907,0,-0.00364577505545874,0.21954786
"z_energia100k",0.14813,0.14813,0.14813,0.14813,0,0.00298975938610114,0.70790522
"z_ideb9",0.145746,0.145746,0.145746,0.145746,0,-0.00279012325449065,0.22568029
