"variavel","PIP","Post Mean","Post SD","Cond.Pos.Sign","PIP_maior_igual_05"
"metrop",0.98631,-0.918395598375552,0.295955339283328,0,TRUE
"z_idm",0.912146,0.271403763680668,0.137221655928363,1,TRUE
"z_leitos1k",0.910162,-0.187040356688817,0.0971961131415605,0,TRUE
"z_ivs.renda",0.854142,-0.204167172898604,0.12646008598375,0,TRUE
"z_idosos",0.738154,-0.112919549871885,0.0997090986794568,0,TRUE
"z_sus1k",0.702364,0.104275800033011,0.0921150282386475,1,TRUE
"z_int.circ",0.632196,-0.0882358938143621,0.0948848910960301,0,TRUE
"semiarido",0.59343,-0.17048269455702,0.197960806170033,0,TRUE
"z_pop.rural",0.589634,-0.0817979317658113,0.0938189860776326,6.445e-05,TRUE
"z_ideb5",0.550026,0.0571495691399431,0.0811542009084515,0.99840371,TRUE
"z_ideb9",0.536412,0.0541914707107812,0.0776823461810554,0.99899704,TRUE
"z_ex.pobr",0.454518,0.0700132920675059,0.116772167232184,0.96511469,FALSE
"z_ideb3",0.428306,-0.0299112814452586,0.0555610811516905,0.00068643,FALSE
"z_int.diab",0.400446,-0.0290661441130653,0.0611956654865928,0.00661263,FALSE
"z_imuni",0.397598,0.0230796070032544,0.0479607928047244,1,FALSE
"z_prof1k",0.392008,0.0301664455222313,0.0701720484783981,0.96272015,FALSE
"z_densidade",0.385552,-0.0357905408448023,0.120831525893342,0.01054073,FALSE
"z_pop",0.374604,-0.0108624091168946,0.117294300633411,0.3190676,FALSE
"z_int.asma",0.373322,0.0236708606959867,0.0547941087483427,0.96745437,FALSE
"z_bolsaf",0.362376,-0.0226455341259835,0.06068363895984,0.06164316,FALSE
"z_ivs.capital",0.356416,0.0204409722401539,0.0630008363940063,0.93045767,FALSE
"z_desp.saude",0.347882,-0.0167339833860762,0.05609976624039,0.07616951,FALSE
"z_eleitas.fem",0.343556,0.0111445533335049,0.0412549774994733,0.95109968,FALSE
"z_idhm",0.343124,-0.0156425609418452,0.0792712381129668,0.19793427,FALSE
"z_tax.hom",0.341644,0.0138580180743469,0.0435466669347182,0.98866071,FALSE
"z_ivs.infra",0.338054,0.0122749527988303,0.0461875097380756,0.95423216,FALSE
"z_area",0.32396,-0.00610681111738803,0.0404397796673624,0.20441413,FALSE
"z_pibpc",0.323884,0.00137285867628146,0.0566156672755844,0.42153364,FALSE
"z_int.resp",0.317536,0.00177659478630615,0.0469177101913883,0.6518316,FALSE
"z_desp.educ",0.31735,-0.00856544218136506,0.0424439850419283,0.08436112,FALSE
"z_tax.agua",0.31512,-0.00283656200661085,0.0347047968648429,0.28008378,FALSE
"z_emprego",0.311626,0.00320854561294148,0.0535703298074322,0.66046479,FALSE
"z_energia100k",0.30978,-0.00230092344275049,0.0464450322396853,0.32412034,FALSE
"z_votos",0.308606,0.00281760678553025,0.0337639837202476,0.75710777,FALSE
"aliadogov",0.304852,0.00289396113186024,0.0654533007633198,0.74438744,FALSE
