"variavel","PIP","Post Mean","Post SD","Cond.Pos.Sign","PIP_maior_igual_05"
"z_imuni",0.706176,-0.0815112095971579,0.0765273007527724,0,TRUE
"metrop",0.705978,0.344018554298058,0.321438066302515,1,TRUE
"z_eleitas.fem",0.685608,-0.0813015726049584,0.0765238904558223,0,TRUE
"aliadogov",0.579662,0.105439626365345,0.127585235600646,1,TRUE
"z_ivs.capital",0.577662,0.0829926955755922,0.101154754642195,0.99998615,TRUE
"z_int.resp",0.56756,-0.0689847761200325,0.0843767121008683,0,TRUE
"z_ideb9",0.542852,-0.0484720877143518,0.0719323180642248,0,TRUE
"z_pop",0.516958,0.0677613171900447,0.155106168121365,0.98857161,TRUE
"z_emprego",0.49095,-0.0537539358352587,0.0853588581080205,0.00105917,FALSE
"z_densidade",0.485368,0.0191169812548622,0.14905455385406,0.64483443,FALSE
"z_int.circ",0.47926,0.0417640191237043,0.0710289838507987,0.99855611,FALSE
"z_ex.pobr",0.46843,-0.0587397145608926,0.103010198143082,0.00578528,FALSE
"z_idhm",0.467372,0.0584007802440593,0.111409466151818,0.95829018,FALSE
"z_prof1k",0.464358,-0.0345439669968107,0.0684504350338809,0.00118874,FALSE
"z_int.diab",0.449218,0.0331865128885448,0.0634382745420686,0.99366455,FALSE
"z_sus1k",0.445992,-0.0261604977173338,0.0577181209469383,0.00148433,FALSE
"z_bolsaf",0.442658,0.033598404446486,0.0661890008321659,0.99392307,FALSE
"z_area",0.43739,0.0263012098274473,0.0525074156020755,0.99974851,FALSE
"z_ideb3",0.4318,0.0239794872663193,0.0498958918321815,0.99860584,FALSE
"z_idm",0.42354,-0.0384339793270304,0.0849648794714759,0.02843179,FALSE
"z_desp.saude",0.414914,0.0288632323975605,0.0668423503277947,0.93239563,FALSE
"z_ideb5",0.405114,-0.00330797514963826,0.0550249697671914,0.60285253,FALSE
"z_pop.rural",0.404806,-0.0179697658693587,0.0552819198600503,0.01721812,FALSE
"z_energia100k",0.401322,-0.0166370149078057,0.0559064434682052,0.03023009,FALSE
"z_tax.hom",0.400516,-0.0166455735126858,0.0453567941731711,0.03482508,FALSE
"z_ivs.renda",0.394446,0.0157511354662118,0.0651963978180864,0.89793787,FALSE
"z_desp.educ",0.387864,0.0110353655318428,0.047304377970225,0.87965369,FALSE
"z_votos",0.38773,-0.00890884882377586,0.0387264487469468,0.01965801,FALSE
"z_pibpc",0.385866,0.00627975034939528,0.0582777013086428,0.72439137,FALSE
"z_idosos",0.382406,-0.00703581477061463,0.046383562044155,0.16970445,FALSE
"z_int.asma",0.378968,0.00339147954872335,0.0431732139831055,0.60461569,FALSE
"z_ivs.infra",0.37476,-0.00387699520275907,0.0424600134990191,0.23205251,FALSE
"z_leitos1k",0.374436,-0.000356164216222574,0.0471808874478681,0.47565939,FALSE
"z_tax.agua",0.369832,-0.0029104952650108,0.0347316504255231,0.18985918,FALSE
"semiarido",0.369266,0.0124346062658588,0.0972216846417131,0.85940758,FALSE
