"variavel","PIP","Post Mean","Post SD","Cond.Pos.Sign","PIP_maior_igual_05"
"z_idm",0.953346,0.351311573101729,0.139119355787506,1,TRUE
"z_leitos1k",0.888892,-0.194881353343892,0.100341386553683,0,TRUE
"z_eleitas.fem",0.595574,-0.0877360675859484,0.0879652188718885,0,TRUE
"z_emprego",0.502752,-0.100704700036719,0.120368009641247,0.00015515,TRUE
"z_idosos",0.461864,-0.0674792329230916,0.091054079981852,0,FALSE
"z_area",0.351744,0.0389202135965051,0.06553796739818,1,FALSE
"z_ivs.renda",0.34343,-0.0561539777411609,0.0972184848167449,0,FALSE
"z_tax.agua",0.342912,-0.035189907280203,0.060360025745331,0,FALSE
"z_idhm",0.321086,0.0616821005766325,0.118358482785054,0.99921516,FALSE
"aliadogov",0.320224,0.0613869567741247,0.112682027333699,1,FALSE
"z_ivs.capital",0.307326,0.0495976601291078,0.0954913894477959,0.99392176,FALSE
"z_desp.educ",0.275058,-0.0247959725503238,0.0587717422578884,0.02047568,FALSE
"z_pibpc",0.272212,-0.0348472208766136,0.0789763053582472,0.01415074,FALSE
"semiarido",0.21772,-0.0411958327536481,0.115859429233959,0.00019291,FALSE
"z_int.circ",0.211876,-0.0177778208348273,0.0524441666286581,0.00531443,FALSE
"z_int.resp",0.203688,-0.0146262529518895,0.0468808941058445,0.01473823,FALSE
"z_int.diab",0.1959,-0.0133093232704733,0.0424173082215671,0.0009903,FALSE
"z_pop.rural",0.189044,-0.0122933694146924,0.0439454385858675,0.00782887,FALSE
"z_int.asma",0.181144,0.0117507699883116,0.0405673806778697,0.97959634,FALSE
"z_desp.saude",0.175362,0.00900648189853768,0.0436810256002342,0.85492866,FALSE
"z_imuni",0.171334,-0.00748265845596547,0.0299344638014682,0,FALSE
"z_ex.pobr",0.167072,-0.00433423732376886,0.052465383756161,0.37128903,FALSE
"z_prof1k",0.166692,-0.00385606800705838,0.0412096649567752,0.42249178,FALSE
"z_ideb3",0.165268,0.00679304065021512,0.0314340130704529,0.98267057,FALSE
"z_bolsaf",0.164452,-0.00743383566864652,0.0370901826696553,0.07827208,FALSE
"metrop",0.159776,-0.0224887241486513,0.120901279021395,0.07823453,FALSE
"z_sus1k",0.158732,-0.00296499586601065,0.0330108695047514,0.35062873,FALSE
"z_tax.hom",0.15576,0.00396956337210093,0.0275755845575238,0.90504622,FALSE
"z_ideb5",0.15431,0.0054218267771891,0.0318348506520306,0.96495366,FALSE
"z_votos",0.153988,0.00286892738784342,0.0255397107331714,0.81032288,FALSE
"z_ivs.infra",0.15261,-0.00350845916312299,0.0299974388438087,0.19623878,FALSE
"z_densidade",0.15132,-0.00158001105387824,0.0713134691891058,0.27227068,FALSE
"z_pop",0.14907,-0.00364577505545874,0.0711259933373863,0.21954786,FALSE
"z_energia100k",0.14813,0.00298975938610114,0.0350365914879015,0.70790522,FALSE
"z_ideb9",0.145746,-0.00279012325449065,0.0292544603452594,0.22568029,FALSE
