"variavel","PIP","Post Mean","Post SD","Cond.Pos.Sign","PIP_maior_igual_05"
"z_idm",0.959138,0.355340554387827,0.132175599828463,1,TRUE
"z_int.circ",0.61734,-0.125272405346226,0.116081212902357,0,TRUE
"z_pop.rural",0.60529,-0.120502556512281,0.114592570137719,0,TRUE
"z_idosos",0.588242,-0.115606160818417,0.113801852155375,0,TRUE
"semiarido",0.324446,-0.119337764661185,0.202090983286298,0,FALSE
"z_leitos1k",0.31643,-0.0478059396012205,0.0820081268650531,0,FALSE
"z_int.resp",0.233402,-0.0349414103829584,0.0755961821868913,0,FALSE
"z_prof1k",0.141372,-0.0141221826159274,0.0450672222943669,0.00468268,FALSE
"z_pibpc",0.139358,-0.0171888671557229,0.054595933087091,0.02174256,FALSE
"z_ivs.renda",0.132302,-0.0158089245266721,0.0524357178591562,0,FALSE
"z_ideb5",0.124904,0.0109807378332407,0.0381141211905857,1,FALSE
"z_sus1k",0.113286,-0.00910227609435,0.035020839521106,0.00194199,FALSE
"z_ivs.capital",0.112054,0.011312334639852,0.0439841342865921,0.99544862,FALSE
"z_ivs.infra",0.102468,0.00783117427824651,0.0326131604239044,0.9908264,FALSE
"z_desp.educ",0.102288,-0.00717085097537339,0.0298155308976486,0.00076255,FALSE
"z_pop",0.098888,0.00818555499695827,0.0423435020140485,0.99900898,FALSE
"z_int.asma",0.097742,0.0069223094725807,0.0313572480321476,0.95369442,FALSE
"z_tax.agua",0.095146,-0.00601791929178665,0.0264470577283203,4.204e-05,FALSE
"z_energia100k",0.090572,-0.00701305152626624,0.0322188475961782,0.00876651,FALSE
"z_eleitas.fem",0.084596,-0.00436282086960618,0.0233269095292858,0.01300298,FALSE
"z_ex.pobr",0.081318,-0.00534703142577656,0.0344631584704749,0.09764136,FALSE
"z_emprego",0.08035,-0.00590985500976034,0.0319832695078864,0.02957063,FALSE
"z_bolsaf",0.079058,-0.00469302767734819,0.0263024760344429,0.0107769,FALSE
"z_densidade",0.079054,0.00295906449274335,0.0372153988702002,0.87871581,FALSE
"metrop",0.076994,0.0157584924046558,0.093688826932018,0.95786685,FALSE
"z_votos",0.07326,-0.00314692224758898,0.019517385069595,0.0002457,FALSE
"z_ideb9",0.072634,-0.000235398413547263,0.0222698865025428,0.71123716,FALSE
"z_int.diab",0.072118,-0.00284492685117324,0.0240321936097159,0.21093208,FALSE
"aliadogov",0.070012,0.00589776355916383,0.0377698033371666,1,FALSE
"z_idhm",0.068358,0.00405839783138205,0.0349704691830669,0.81035139,FALSE
"z_desp.saude",0.066716,-0.000185304717408579,0.021804143563932,0.45560285,FALSE
"z_imuni",0.064256,-0.00166324429305493,0.0163117024923805,0.0029258,FALSE
"z_area",0.063274,0.00176767000176028,0.0172560063407322,0.92221133,FALSE
"z_ideb3",0.05816,-0.000745999066409412,0.0155893858666816,0.23964924,FALSE
"z_tax.hom",0.056108,0.000472980147246829,0.0151089730782578,0.67031439,FALSE
