"variavel","PIP_cadeia_1","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"metrop",0.649066,0.649066,0.649066,0.649066,0,0.359407345282217,1
"z_eleitas.fem",0.626262,0.626262,0.626262,0.626262,0,-0.0765857367908431,0
"z_imuni",0.533582,0.533582,0.533582,0.533582,0,-0.0499758623807488,0
"aliadogov",0.528332,0.528332,0.528332,0.528332,0,0.0965528987457118,1
"z_ideb9",0.475082,0.475082,0.475082,0.475082,0,-0.042669547613259,0
"z_ivs.capital",0.467924,0.467924,0.467924,0.467924,0,0.0578550742494065,1
"z_leitos1k",0.455992,0.455992,0.455992,0.455992,0,0.0430898500700748,0.99995175
"z_ex.pobr",0.451164,0.451164,0.451164,0.451164,0,-0.0690218790126313,0.0013033
"z_bolsaf",0.440358,0.440358,0.440358,0.440358,0,0.0460622378013887,0.99916886
"z_int.resp",0.436646,0.436646,0.436646,0.436646,0,-0.0412326678050682,0.00012367
"z_sus1k",0.434824,0.434824,0.434824,0.434824,0,-0.0339902601819036,0
"z_ideb3",0.406364,0.406364,0.406364,0.406364,0,0.0254009355537233,0.99993602
"z_int.circ",0.398212,0.398212,0.398212,0.398212,0,0.0278537009414371,0.99742348
"z_area",0.391602,0.391602,0.391602,0.391602,0,0.023840799266602,0.99975485
"z_emprego",0.38604,0.38604,0.38604,0.38604,0,-0.0288985133405376,0.00125894
"z_idm",0.380244,0.380244,0.380244,0.380244,0,-0.0329114257448219,0.01576882
"z_ivs.infra",0.374928,0.374928,0.374928,0.374928,0,-0.0184572730905466,0.01147954
"z_tax.hom",0.370998,0.370998,0.370998,0.370998,0,-0.0180038676793931,0.01600548
"z_idhm",0.367942,0.367942,0.367942,0.367942,0,0.0279697230618999,0.88134543
"z_ideb5",0.360304,0.360304,0.360304,0.360304,0,0.00026919321402651,0.65510791
"z_energia100k",0.356788,0.356788,0.356788,0.356788,0,-0.0149308992174178,0.01825734
"z_prof1k",0.35089,0.35089,0.35089,0.35089,0,-0.00889925623940926,0.17792471
"z_pop",0.341442,0.341442,0.341442,0.341442,0,0.0306393140395318,0.81910837
"z_ivs.renda",0.341264,0.341264,0.341264,0.341264,0,0.00879932686505298,0.83777955
"z_desp.saude",0.340222,0.340222,0.340222,0.340222,0,0.00952701257521677,0.8638536
"z_pop.rural",0.338182,0.338182,0.338182,0.338182,0,-0.00456885202595513,0.41691752
"z_pibpc",0.33774,0.33774,0.33774,0.33774,0,-0.00611049244842811,0.28057678
"semiarido",0.333668,0.333668,0.333668,0.333668,0,0.0104006881100309,0.84574487
"z_idosos",0.331706,0.331706,0.331706,0.331706,0,0.00672426721185147,0.88329424
"z_votos",0.32872,0.32872,0.32872,0.32872,0,-0.00388057485503291,0.25298734
"z_int.asma",0.32862,0.32862,0.32862,0.32862,0,-0.00396404691956031,0.2078145
"z_int.diab",0.328394,0.328394,0.328394,0.328394,0,0.00166870625355073,0.63997515
"z_densidade",0.328358,0.328358,0.328358,0.328358,0,0.0170757345440672,0.81003052
"z_desp.educ",0.327742,0.327742,0.327742,0.327742,0,0.00304166131047285,0.74714867
"z_tax.agua",0.325632,0.325632,0.325632,0.325632,0,-0.0025249196160016,0.17165389
