"variavel","PIP_cadeia_1","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"z_idm",0.89994,0.89994,0.89994,0.89994,0,0.324224887939748,1
"z_leitos1k",0.6096,0.6096,0.6096,0.6096,0,-0.110316621330952,0
"z_idosos",0.504906,0.504906,0.504906,0.504906,0,-0.0885857210256427,0
"z_ivs.renda",0.400874,0.400874,0.400874,0.400874,0,-0.0767862824069399,0
"z_eleitas.fem",0.33565,0.33565,0.33565,0.33565,0,-0.0398955585072404,0
"semiarido",0.331228,0.331228,0.331228,0.331228,0,-0.10783100234104,0
"z_emprego",0.280838,0.280838,0.280838,0.280838,0,-0.0440028468454966,0.0006267
"z_int.circ",0.270108,0.270108,0.270108,0.270108,0,-0.0350684375324664,9.626e-05
"z_pibpc",0.266916,0.266916,0.266916,0.266916,0,-0.040513501932838,0.01610994
"z_ivs.capital",0.237852,0.237852,0.237852,0.237852,0,0.0357416653335325,0.99513143
"z_int.resp",0.216258,0.216258,0.216258,0.216258,0,-0.0236767077395678,0.00189588
"aliadogov",0.210006,0.210006,0.210006,0.210006,0,0.0355273516598974,1
"z_pop.rural",0.196744,0.196744,0.196744,0.196744,0,-0.0199542619578492,0.00028463
"z_int.diab",0.19017,0.19017,0.19017,0.19017,0,-0.0172293364218869,0.00046274
"z_idhm",0.189942,0.189942,0.189942,0.189942,0,0.0274433556611558,0.97595055
"z_tax.agua",0.18974,0.18974,0.18974,0.18974,0,-0.0146696815389593,0
"z_desp.educ",0.159356,0.159356,0.159356,0.159356,0,-0.0106523046237269,0.02933056
"z_ex.pobr",0.15472,0.15472,0.15472,0.15472,0,-0.0120113800130443,0.13843071
"z_pop",0.145796,0.145796,0.145796,0.145796,0,0.0467354039442835,0.97849049
"z_area",0.145464,0.145464,0.145464,0.145464,0,0.00944671273605857,0.99668647
"z_prof1k",0.129874,0.129874,0.129874,0.129874,0,-0.00432220497585977,0.35112494
"z_ideb5",0.12742,0.12742,0.12742,0.12742,0,0.00774314191987639,0.99786533
"z_sus1k",0.12551,0.12551,0.12551,0.12551,0,-0.00499737116568388,0.1559079
"z_imuni",0.123238,0.123238,0.123238,0.123238,0,-0.00552843959820421,0
"z_int.asma",0.123188,0.123188,0.123188,0.123188,0,0.00603424740420288,0.90775075
"z_tax.hom",0.119672,0.119672,0.119672,0.119672,0,0.00437811075814344,0.95430844
"z_desp.saude",0.11933,0.11933,0.11933,0.11933,0,-0.000599087903846415,0.50664544
"z_ivs.infra",0.11599,0.11599,0.11599,0.11599,0,0.00327277585502391,0.78529184
"z_ideb9",0.111414,0.111414,0.111414,0.111414,0,-0.00332740929971306,0.20983
"z_densidade",0.10991,0.10991,0.10991,0.10991,0,0.0038801392386639,0.656337
"z_votos",0.109892,0.109892,0.109892,0.109892,0,-0.00277433531003165,0.10634077
"z_ideb3",0.10978,0.10978,0.10978,0.10978,0,0.00336139937607308,0.91488431
"z_bolsaf",0.109476,0.109476,0.109476,0.109476,0,-0.0025222771941697,0.22934707
"z_energia100k",0.107934,0.107934,0.107934,0.107934,0,4.23324392604519e-05,0.49550651
"metrop",0.106842,0.106842,0.106842,0.106842,0,-0.00241710124958761,0.39263585
