"variavel","PIP","Post Mean","Post SD","Cond.Pos.Sign","PIP_maior_igual_05"
"z_idm",0.89994,0.324224887939748,0.160866477807524,1,TRUE
"z_leitos1k",0.6096,-0.110316621330952,0.107582529119506,0,TRUE
"z_idosos",0.504906,-0.0885857210256427,0.106865710495497,0,TRUE
"z_ivs.renda",0.400874,-0.0767862824069399,0.113148072591645,0,FALSE
"z_eleitas.fem",0.33565,-0.0398955585072404,0.0679955013280876,0,FALSE
"semiarido",0.331228,-0.10783100234104,0.189355255237763,0,FALSE
"z_emprego",0.280838,-0.0440028468454966,0.0862357072283687,0.0006267,FALSE
"z_int.circ",0.270108,-0.0350684375324664,0.0731051941235262,9.626e-05,FALSE
"z_pibpc",0.266916,-0.040513501932838,0.0851602892164783,0.01610994,FALSE
"z_ivs.capital",0.237852,0.0357416653335325,0.0818263394234975,0.99513143,FALSE
"z_int.resp",0.216258,-0.0236767077395678,0.0599503535082943,0.00189588,FALSE
"aliadogov",0.210006,0.0355273516598974,0.0890274078425534,1,FALSE
"z_pop.rural",0.196744,-0.0199542619578492,0.0550392904435517,0.00028463,FALSE
"z_int.diab",0.19017,-0.0172293364218869,0.0483796905548074,0.00046274,FALSE
"z_idhm",0.189942,0.0274433556611558,0.0817376832945662,0.97595055,FALSE
"z_tax.agua",0.18974,-0.0146696815389593,0.040632280476156,0,FALSE
"z_desp.educ",0.159356,-0.0106523046237269,0.0388733042234525,0.02933056,FALSE
"z_ex.pobr",0.15472,-0.0120113800130443,0.0544406936363439,0.13843071,FALSE
"z_pop",0.145796,0.0467354039442835,0.189135735244031,0.97849049,FALSE
"z_area",0.145464,0.00944671273605857,0.0344628409546363,0.99668647,FALSE
"z_prof1k",0.129874,-0.00432220497585977,0.0367957834030199,0.35112494,FALSE
"z_ideb5",0.12742,0.00774314191987639,0.0343747664377032,0.99786533,FALSE
"z_sus1k",0.12551,-0.00499737116568388,0.0309144255202462,0.1559079,FALSE
"z_imuni",0.123238,-0.00552843959820421,0.0260777800670334,0,FALSE
"z_int.asma",0.123188,0.00603424740420288,0.0315152959969206,0.90775075,FALSE
"z_tax.hom",0.119672,0.00437811075814344,0.0261160499079224,0.95430844,FALSE
"z_desp.saude",0.11933,-0.000599087903846415,0.0320024672836868,0.50664544,FALSE
"z_ivs.infra",0.11599,0.00327277585502391,0.0272917977476436,0.78529184,FALSE
"z_ideb9",0.111414,-0.00332740929971306,0.0285025567015872,0.20983,FALSE
"z_densidade",0.10991,0.0038801392386639,0.0892792478628239,0.656337,FALSE
"z_votos",0.109892,-0.00277433531003165,0.022459695374665,0.10634077,FALSE
"z_ideb3",0.10978,0.00336139937607308,0.024488863424063,0.91488431,FALSE
"z_bolsaf",0.109476,-0.0025222771941697,0.0278996614772618,0.22934707,FALSE
"z_energia100k",0.107934,4.23324392604519e-05,0.0290206905838909,0.49550651,FALSE
"metrop",0.106842,-0.00241710124958761,0.0927960795790236,0.39263585,FALSE
