"variavel","PIP_cadeia_1","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"z_idm",0.975714,0.975714,0.975714,0.975714,0,0.36171398071645,1
"metrop",0.961444,0.961444,0.961444,0.961444,0,-0.765345937358139,0
"z_leitos1k",0.879792,0.879792,0.879792,0.879792,0,-0.174589397823441,0
"z_ivs.renda",0.793522,0.793522,0.793522,0.793522,0,-0.146106480950772,0
"z_int.circ",0.786256,0.786256,0.786256,0.786256,0,-0.120853303779338,0
"z_bolsaf",0.717228,0.717228,0.717228,0.717228,0,-0.10886107332029,4.462e-05
"z_tax.hom",0.70027,0.70027,0.70027,0.70027,0,0.0752923300498549,1
"z_idosos",0.699494,0.699494,0.699494,0.699494,0,-0.0778417658767557,0
"semiarido",0.6964,0.6964,0.6964,0.6964,0,-0.176002931128757,0
"z_ideb9",0.681536,0.681536,0.681536,0.681536,0,0.0734567173145804,1
"z_int.diab",0.612244,0.612244,0.612244,0.612244,0,-0.0715728126424916,0.00034953
"z_sus1k",0.607754,0.607754,0.607754,0.607754,0,0.0601355435577072,0.99990457
"z_int.asma",0.604844,0.604844,0.604844,0.604844,0,0.060541951072935,0.99636601
"z_ideb3",0.594754,0.594754,0.594754,0.594754,0,-0.0487479988826508,0.00065237
"z_ex.pobr",0.58019,0.58019,0.58019,0.58019,0,0.0942881016957086,0.97700408
"z_pibpc",0.562532,0.562532,0.562532,0.562532,0,-0.0584091652308305,0.00843685
"z_pop.rural",0.550512,0.550512,0.550512,0.550512,0,-0.0488754779431824,0.00174383
"z_eleitas.fem",0.54069,0.54069,0.54069,0.54069,0,0.0370040307380697,0.99526531
"z_ideb5",0.540206,0.540206,0.540206,0.540206,0,0.0298705523200462,0.92605043
"z_tax.agua",0.538296,0.538296,0.538296,0.538296,0,-0.032530920069418,0.00032324
"z_prof1k",0.53401,0.53401,0.53401,0.53401,0,0.0417847303645573,0.98150222
"z_ivs.infra",0.533836,0.533836,0.533836,0.533836,0,0.0342872342518632,0.99351112
"z_int.resp",0.526624,0.526624,0.526624,0.526624,0,0.0398113277809638,0.99098788
"z_pop",0.525154,0.525154,0.525154,0.525154,0,-0.0467386256301775,0.05467349
"z_densidade",0.521922,0.521922,0.521922,0.521922,0,-0.0228045733113974,0.28846839
"z_emprego",0.480996,0.480996,0.480996,0.480996,0,-0.0307507550918572,0.01258638
"z_imuni",0.466288,0.466288,0.466288,0.466288,0,0.014652496668648,0.99331315
"z_desp.saude",0.453306,0.453306,0.453306,0.453306,0,-0.012364210072579,0.15311511
"z_idhm",0.449152,0.449152,0.449152,0.449152,0,-0.00784425229342085,0.40810683
"z_ivs.capital",0.447132,0.447132,0.447132,0.447132,0,-0.00038308873468098,0.58383207
"z_desp.educ",0.446858,0.446858,0.446858,0.446858,0,-0.0112224297876308,0.06264182
"z_area",0.443556,0.443556,0.443556,0.443556,0,-0.00599767790351798,0.19850932
"aliadogov",0.4433,0.4433,0.4433,0.4433,0,-0.0142248473220747,0.03288067
"z_energia100k",0.442226,0.442226,0.442226,0.442226,0,0.00149880347299351,0.59368739
"z_votos",0.433394,0.433394,0.433394,0.433394,0,0.00106888462857316,0.5294951
