"variavel","PIP_cadeia_1","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"metrop",0.633272,0.633272,0.633272,0.633272,0,0.368295570229587,1
"z_sus1k",0.449132,0.449132,0.449132,0.449132,0,-0.04486899577286,0
"z_imuni",0.435854,0.435854,0.435854,0.435854,0,-0.0342761924683734,0
"z_ideb9",0.408384,0.408384,0.408384,0.408384,0,-0.0401532364254954,0
"aliadogov",0.407742,0.407742,0.407742,0.407742,0,0.0568078468882831,1
"z_eleitas.fem",0.390402,0.390402,0.390402,0.390402,0,-0.0308310885744055,0
"z_ex.pobr",0.38956,0.38956,0.38956,0.38956,0,-0.052822842685628,0.00280316
"z_bolsaf",0.38683,0.38683,0.38683,0.38683,0,0.03872555103972,0.99818525
"z_leitos1k",0.383794,0.383794,0.383794,0.383794,0,0.0340097207032609,0.99934861
"z_ivs.capital",0.377344,0.377344,0.377344,0.377344,0,0.0363122289242326,0.99973499
"z_int.resp",0.371682,0.371682,0.371682,0.371682,0,-0.030986048223148,0.00046814
"z_idm",0.360602,0.360602,0.360602,0.360602,0,-0.0376467993146146,0.00818076
"z_tax.hom",0.35208,0.35208,0.35208,0.35208,0,-0.0192299515054611,0.00453874
"z_ideb3",0.349896,0.349896,0.349896,0.349896,0,0.0195693217940112,0.99951414
"z_int.diab",0.349474,0.349474,0.349474,0.349474,0,0.024681176291436,0.99934187
"z_pop",0.340002,0.340002,0.340002,0.340002,0,0.0187460495373435,0.89965941
"z_emprego",0.33457,0.33457,0.33457,0.33457,0,-0.0190404850046774,0.00529635
"z_densidade",0.333846,0.333846,0.333846,0.333846,0,0.0127288896311565,0.83371375
"z_area",0.33287,0.33287,0.33287,0.33287,0,0.0145071352107648,0.99256166
"z_ideb5",0.332418,0.332418,0.332418,0.332418,0,0.016806855428561,0.78185297
"z_ivs.infra",0.3311,0.3311,0.3311,0.3311,0,-0.0123153486253575,0.04242827
"z_int.circ",0.324552,0.324552,0.324552,0.324552,0,0.0099409876238659,0.9447238
"z_desp.saude",0.324052,0.324052,0.324052,0.324052,0,0.015389750147082,0.92230259
"z_prof1k",0.323038,0.323038,0.323038,0.323038,0,-0.0141075413278618,0.0522663
"z_pibpc",0.322128,0.322128,0.322128,0.322128,0,-0.00596853405526204,0.36831943
"z_idhm",0.321786,0.321786,0.321786,0.321786,0,0.0197549417484064,0.87201432
"z_idosos",0.320588,0.320588,0.320588,0.320588,0,0.006691889697465,0.79470847
"z_ivs.renda",0.316092,0.316092,0.316092,0.316092,0,0.00569470985516896,0.79157334
"z_energia100k",0.314348,0.314348,0.314348,0.314348,0,-0.00655758922766072,0.12833548
"z_votos",0.31214,0.31214,0.31214,0.31214,0,-0.00577066268282374,0.04918306
"z_pop.rural",0.309892,0.309892,0.309892,0.309892,0,0.00616031884298352,0.81996308
"semiarido",0.308664,0.308664,0.308664,0.308664,0,0.0190088762641924,0.97241661
"z_desp.educ",0.308368,0.308368,0.308368,0.308368,0,-0.00110180554708002,0.51940539
"z_int.asma",0.30164,0.30164,0.30164,0.30164,0,-0.000868729934470588,0.37530168
"z_tax.agua",0.301036,0.301036,0.301036,0.301036,0,0.00183513982849117,0.73824393
