"variavel","PIP_cadeia_1","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"z_ivs.renda",0.671672,0.671672,0.671672,0.671672,0,-0.157318407028146,0
"semiarido",0.544498,0.544498,0.544498,0.544498,0,-0.235502498149322,0
"z_idm",0.471148,0.471148,0.471148,0.471148,0,0.116358772405545,1
"z_idosos",0.407908,0.407908,0.407908,0.407908,0,-0.0710041011509257,0
"z_int.circ",0.339264,0.339264,0.339264,0.339264,0,-0.0516433036949406,0
"z_leitos1k",0.174512,0.174512,0.174512,0.174512,0,-0.0203911071994696,8.022e-05
"z_pop.rural",0.169768,0.169768,0.169768,0.169768,0,-0.0196808384556735,0
"z_ivs.capital",0.135848,0.135848,0.135848,0.135848,0,0.0153364978197386,0.96340027
"z_ex.pobr",0.11976,0.11976,0.11976,0.11976,0,-0.0128835510042229,0.07032398
"z_ideb5",0.116024,0.116024,0.116024,0.116024,0,0.00885878798895813,1
"z_sus1k",0.108692,0.108692,0.108692,0.108692,0,-0.00789760557482329,0.00110404
"aliadogov",0.106872,0.106872,0.106872,0.106872,0,0.0139454938660123,1
"z_pibpc",0.10377,0.10377,0.10377,0.10377,0,-0.00835830580320638,0.0872121
"z_int.resp",0.102416,0.102416,0.102416,0.102416,0,-0.00771779271704902,0.04341119
"z_idhm",0.098794,0.098794,0.098794,0.098794,0,0.00837555251972581,0.82824868
"z_emprego",0.097776,0.097776,0.097776,0.097776,0,-0.00744652169286371,0.03280969
"z_votos",0.09359,0.09359,0.09359,0.09359,0,-0.00490475980879378,0
"z_int.diab",0.08775,0.08775,0.08775,0.08775,0,-0.00449083609093959,0.11879202
"z_ivs.infra",0.087736,0.087736,0.087736,0.087736,0,0.00435042266820224,0.97487918
"z_imuni",0.085206,0.085206,0.085206,0.085206,0,-0.00395093506837087,0
"metrop",0.083864,0.083864,0.083864,0.083864,0,0.0137257668753904,0.9124535
"z_area",0.081988,0.081988,0.081988,0.081988,0,0.00308918772494173,0.94357711
"z_prof1k",0.07592,0.07592,0.07592,0.07592,0,-0.00262258986832826,0.15645416
"z_desp.saude",0.075704,0.075704,0.075704,0.075704,0,-0.0019233646559682,0.22146782
"z_desp.educ",0.074816,0.074816,0.074816,0.074816,0,-0.00297737828197198,0.03277374
"z_tax.hom",0.072954,0.072954,0.072954,0.072954,0,0.00204636079664191,0.93724813
"z_int.asma",0.072128,0.072128,0.072128,0.072128,0,0.00206294913091895,0.7244898
"z_pop",0.07114,0.07114,0.07114,0.07114,0,0.00149098516020505,0.72482429
"z_bolsaf",0.070032,0.070032,0.070032,0.070032,0,-0.000981476649026386,0.34675577
"z_ideb3",0.069982,0.069982,0.069982,0.069982,0,0.000729082384025859,0.69106342
"z_ideb9",0.069488,0.069488,0.069488,0.069488,0,-6.99602791504625e-05,0.73189615
"z_tax.agua",0.068588,0.068588,0.068588,0.068588,0,-0.00237700132058945,0.00755234
"z_eleitas.fem",0.066766,0.066766,0.066766,0.066766,0,-0.00233916757299967,0.04121858
"z_densidade",0.06426,0.06426,0.06426,0.06426,0,-0.000362870365349822,0.52713974
"z_energia100k",0.06291,0.06291,0.06291,0.06291,0,0.000417667404909587,0.59567636
