"variavel","PIP","Post Mean","Post SD","Cond.Pos.Sign","PIP_maior_igual_05"
"z_idm",0.975714,0.36171398071645,0.13477797551478,1,TRUE
"metrop",0.961444,-0.765345937358139,0.305732519547633,0,TRUE
"z_leitos1k",0.879792,-0.174589397823441,0.104070153948478,0,TRUE
"z_ivs.renda",0.793522,-0.146106480950772,0.114464335244223,0,TRUE
"z_int.circ",0.786256,-0.120853303779338,0.0998225913908328,0,TRUE
"z_bolsaf",0.717228,-0.10886107332029,0.0984130418206858,4.462e-05,TRUE
"z_tax.hom",0.70027,0.0752923300498549,0.0723670228911999,1,TRUE
"z_idosos",0.699494,-0.0778417658767557,0.0842774009876743,0,TRUE
"semiarido",0.6964,-0.176002931128757,0.181380315543515,0,TRUE
"z_ideb9",0.681536,0.0734567173145804,0.0834324654068597,1,TRUE
"z_int.diab",0.612244,-0.0715728126424916,0.0873302373511369,0.00034953,TRUE
"z_sus1k",0.607754,0.0601355435577072,0.0751680073763282,0.99990457,TRUE
"z_int.asma",0.604844,0.060541951072935,0.0753887279345658,0.99636601,TRUE
"z_ideb3",0.594754,-0.0487479988826508,0.0646629605754116,0.00065237,TRUE
"z_ex.pobr",0.58019,0.0942881016957086,0.12791204466772,0.97700408,TRUE
"z_pibpc",0.562532,-0.0584091652308305,0.0864065180673183,0.00843685,TRUE
"z_pop.rural",0.550512,-0.0488754779431824,0.0740967424500165,0.00174383,TRUE
"z_eleitas.fem",0.54069,0.0370040307380697,0.0656437784838223,0.99526531,TRUE
"z_ideb5",0.540206,0.0298705523200462,0.0717291199960998,0.92605043,TRUE
"z_tax.agua",0.538296,-0.032530920069418,0.0519805430101461,0.00032324,TRUE
"z_prof1k",0.53401,0.0417847303645573,0.075048930358646,0.98150222,TRUE
"z_ivs.infra",0.533836,0.0342872342518632,0.0628826885261365,0.99351112,TRUE
"z_int.resp",0.526624,0.0398113277809638,0.0689175132699466,0.99098788,TRUE
"z_pop",0.525154,-0.0467386256301775,0.148387069415507,0.05467349,TRUE
"z_densidade",0.521922,-0.0228045733113974,0.144918008156547,0.28846839,TRUE
"z_emprego",0.480996,-0.0307507550918572,0.0725620582118356,0.01258638,FALSE
"z_imuni",0.466288,0.014652496668648,0.0442007224997671,0.99331315,FALSE
"z_desp.saude",0.453306,-0.012364210072579,0.0588481582138646,0.15311511,FALSE
"z_idhm",0.449152,-0.00784425229342085,0.0850376974585258,0.40810683,FALSE
"z_ivs.capital",0.447132,-0.00038308873468098,0.0623107621860586,0.58383207,FALSE
"z_desp.educ",0.446858,-0.0112224297876308,0.0505048463971405,0.06264182,FALSE
"z_area",0.443556,-0.00599767790351798,0.0443680558466479,0.19850932,FALSE
"aliadogov",0.4433,-0.0142248473220747,0.0771135030369401,0.03288067,FALSE
"z_energia100k",0.442226,0.00149880347299351,0.0541315506396114,0.59368739,FALSE
"z_votos",0.433394,0.00106888462857316,0.0373188277324671,0.5294951,FALSE
