"variavel","PIP","Post Mean","Post SD","Cond.Pos.Sign","PIP_maior_igual_05"
"metrop",0.633272,0.368295570229587,0.347540150420053,1,TRUE
"z_sus1k",0.449132,-0.04486899577286,0.0693498701715638,0,FALSE
"z_imuni",0.435854,-0.0342761924683734,0.0560222410009542,0,FALSE
"z_ideb9",0.408384,-0.0401532364254954,0.0704060547467985,0,FALSE
"aliadogov",0.407742,0.0568078468882831,0.0986150623874001,1,FALSE
"z_eleitas.fem",0.390402,-0.0308310885744055,0.0585928624865557,0,FALSE
"z_ex.pobr",0.38956,-0.052822842685628,0.0970605957746119,0.00280316,FALSE
"z_bolsaf",0.38683,0.03872555103972,0.0692802041488882,0.99818525,FALSE
"z_leitos1k",0.383794,0.0340097207032609,0.0651910026241005,0.99934861,FALSE
"z_ivs.capital",0.377344,0.0363122289242326,0.0704512632079664,0.99973499,FALSE
"z_int.resp",0.371682,-0.030986048223148,0.0596077389920365,0.00046814,FALSE
"z_idm",0.360602,-0.0376467993146146,0.0809040907903048,0.00818076,FALSE
"z_tax.hom",0.35208,-0.0192299515054611,0.0445085953501521,0.00453874,FALSE
"z_ideb3",0.349896,0.0195693217940112,0.0448651724934243,0.99951414,FALSE
"z_int.diab",0.349474,0.024681176291436,0.056017754354495,0.99934187,FALSE
"z_pop",0.340002,0.0187460495373435,0.11361689543512,0.89965941,FALSE
"z_emprego",0.33457,-0.0190404850046774,0.0569894533513364,0.00529635,FALSE
"z_densidade",0.333846,0.0127288896311565,0.111637334120163,0.83371375,FALSE
"z_area",0.33287,0.0145071352107648,0.0410853605477522,0.99256166,FALSE
"z_ideb5",0.332418,0.016806855428561,0.0555393129803275,0.78185297,FALSE
"z_ivs.infra",0.3311,-0.0123153486253575,0.0430169847563313,0.04242827,FALSE
"z_int.circ",0.324552,0.0099409876238659,0.0466257902300961,0.9447238,FALSE
"z_desp.saude",0.324052,0.015389750147082,0.0507295503527167,0.92230259,FALSE
"z_prof1k",0.323038,-0.0141075413278618,0.0505084626957497,0.0522663,FALSE
"z_pibpc",0.322128,-0.00596853405526204,0.0497090215631001,0.36831943,FALSE
"z_idhm",0.321786,0.0197549417484064,0.0753244207978193,0.87201432,FALSE
"z_idosos",0.320588,0.006691889697465,0.0404311140418542,0.79470847,FALSE
"z_ivs.renda",0.316092,0.00569470985516896,0.0525683085665125,0.79157334,FALSE
"z_energia100k",0.314348,-0.00655758922766072,0.0435390687777699,0.12833548,FALSE
"z_votos",0.31214,-0.00577066268282374,0.0319769520913297,0.04918306,FALSE
"z_pop.rural",0.309892,0.00616031884298352,0.0431311809046509,0.81996308,FALSE
"semiarido",0.308664,0.0190088762641924,0.0865527699281518,0.97241661,FALSE
"z_desp.educ",0.308368,-0.00110180554708002,0.0385924343167516,0.51940539,FALSE
"z_int.asma",0.30164,-0.000868729934470588,0.0363426140633626,0.37530168,FALSE
"z_tax.agua",0.301036,0.00183513982849117,0.0291324375882755,0.73824393,FALSE
