"variavel","PIP_cadeia_1","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"z_idm",0.970586,0.970586,0.970586,0.970586,0,0.354885771922841,1
"metrop",0.956924,0.956924,0.956924,0.956924,0,-0.755586735185932,0
"z_leitos1k",0.872874,0.872874,0.872874,0.872874,0,-0.173753402488019,0
"z_ivs.renda",0.782978,0.782978,0.782978,0.782978,0,-0.144659706900971,0
"z_int.circ",0.764458,0.764458,0.764458,0.764458,0,-0.117659220886812,0
"z_tax.hom",0.692374,0.692374,0.692374,0.692374,0,0.0738415687121115,0.99999133
"z_idosos",0.691994,0.691994,0.691994,0.691994,0,-0.0790632323811802,0
"z_bolsaf",0.687204,0.687204,0.687204,0.687204,0,-0.102663224379023,0
"semiarido",0.669816,0.669816,0.669816,0.669816,0,-0.170225275951269,0
"z_ideb9",0.658768,0.658768,0.658768,0.658768,0,0.0711143185072922,0.99999089
"z_int.diab",0.59395,0.59395,0.59395,0.59395,0,-0.068382376094922,0.00041754
"z_sus1k",0.590476,0.590476,0.590476,0.590476,0,0.0575518983557657,0.99991194
"z_int.asma",0.569784,0.569784,0.569784,0.569784,0,0.0559595261340284,0.9947875
"z_ideb3",0.568768,0.568768,0.568768,0.568768,0,-0.0461545225903099,0.00048878
"z_ex.pobr",0.561102,0.561102,0.561102,0.561102,0,0.0884016430331881,0.9716736
"z_pibpc",0.551056,0.551056,0.551056,0.551056,0,-0.0566533175022829,0.01024215
"z_pop.rural",0.523952,0.523952,0.523952,0.523952,0,-0.0451050388366303,0.00315296
"z_ideb5",0.522818,0.522818,0.522818,0.522818,0,0.029991776396573,0.92770333
"z_prof1k",0.516398,0.516398,0.516398,0.516398,0,0.041609994617016,0.97922533
"z_tax.agua",0.514274,0.514274,0.514274,0.514274,0,-0.0305750620685993,0.00066502
"z_eleitas.fem",0.512274,0.512274,0.512274,0.512274,0,0.0345707092726234,0.99426088
"z_ivs.infra",0.503004,0.503004,0.503004,0.503004,0,0.0321847515961145,0.993841
"z_int.resp",0.5022,0.5022,0.5022,0.5022,0,0.0371509191278551,0.98870569
"z_densidade",0.500668,0.500668,0.500668,0.500668,0,-0.0224169354071834,0.27732949
"z_pop",0.49595,0.49595,0.49595,0.49595,0,-0.0435810526943535,0.05225527
"z_emprego",0.460004,0.460004,0.460004,0.460004,0,-0.0295154000376503,0.01283467
"z_imuni",0.454404,0.454404,0.454404,0.454404,0,0.0146581132437224,0.9945467
"z_desp.educ",0.43114,0.43114,0.43114,0.43114,0,-0.0104279781839689,0.07245442
"z_desp.saude",0.429402,0.429402,0.429402,0.429402,0,-0.0102106896111196,0.18322225
"z_tmi",0.42819,0.42819,0.42819,0.42819,0,-0.00858902251799164,0.00572643
"z_ivs.capital",0.426418,0.426418,0.426418,0.426418,0,0.000544908672489028,0.61140008
"z_energia100k",0.42618,0.42618,0.42618,0.42618,0,0.00107928730780322,0.57401098
"z_idhm",0.423892,0.423892,0.423892,0.423892,0,-0.00682513009525255,0.42891114
"z_area",0.423562,0.423562,0.423562,0.423562,0,-0.00569176409292769,0.20899892
"aliadogov",0.418874,0.418874,0.418874,0.418874,0,-0.0130821252357357,0.03972078
"z_votos",0.412962,0.412962,0.412962,0.412962,0,0.0013433825407296,0.56889012
