"variavel","PIP_cadeia_1","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"metrop",0.633638,0.633638,0.633638,0.633638,0,0.367777617754186,1
"z_sus1k",0.447244,0.447244,0.447244,0.447244,0,-0.0447534456598831,0
"z_imuni",0.428436,0.428436,0.428436,0.428436,0,-0.0336589944006274,0
"z_ideb9",0.40467,0.40467,0.40467,0.40467,0,-0.0391803395103169,0
"aliadogov",0.396162,0.396162,0.396162,0.396162,0,0.054029212216292,1
"z_leitos1k",0.388408,0.388408,0.388408,0.388408,0,0.0352210457224424,0.99958291
"z_bolsaf",0.381386,0.381386,0.381386,0.381386,0,0.0375770539597397,0.99782897
"z_ex.pobr",0.381162,0.381162,0.381162,0.381162,0,-0.0500855238511931,0.00323222
"z_eleitas.fem",0.376348,0.376348,0.376348,0.376348,0,-0.0276936088276066,5.31e-06
"z_ivs.capital",0.368942,0.368942,0.368942,0.368942,0,0.0335957261567572,0.99986448
"z_int.resp",0.361784,0.361784,0.361784,0.361784,0,-0.0289797959780561,0.0006081
"z_idm",0.352744,0.352744,0.352744,0.352744,0,-0.0351462949220169,0.00834033
"z_int.diab",0.348368,0.348368,0.348368,0.348368,0,0.0243923760175756,0.99931107
"z_tax.hom",0.347682,0.347682,0.347682,0.347682,0,-0.0184956315120846,0.00596522
"z_ideb3",0.340992,0.340992,0.340992,0.340992,0,0.0186892897574738,0.99966568
"z_tmi",0.334304,0.334304,0.334304,0.334304,0,0.0129077354285864,1
"z_pop",0.329934,0.329934,0.329934,0.329934,0,0.0183590631370633,0.91328569
"z_emprego",0.327094,0.327094,0.327094,0.327094,0,-0.0174644630709107,0.00526454
"z_densidade",0.326606,0.326606,0.326606,0.326606,0,0.0113947183017847,0.82147297
"z_prof1k",0.32474,0.32474,0.32474,0.32474,0,-0.0157112813122341,0.0398411
"z_ideb5",0.322412,0.322412,0.322412,0.322412,0,0.0166954051019739,0.78750171
"z_area",0.321104,0.321104,0.321104,0.321104,0,0.0136373045467692,0.99370297
"z_int.circ",0.31726,0.31726,0.31726,0.31726,0,0.00994452859896473,0.94958079
"z_idhm",0.316752,0.316752,0.316752,0.316752,0,0.0176793650870026,0.85800879
"z_ivs.infra",0.315588,0.315588,0.315588,0.315588,0,-0.0113989922607438,0.04173796
"z_votos",0.315312,0.315312,0.315312,0.315312,0,-0.00616766699275112,0.04015705
"z_pibpc",0.313206,0.313206,0.313206,0.313206,0,-0.0058911599367174,0.36794953
"z_energia100k",0.311944,0.311944,0.311944,0.311944,0,-0.00553005737027303,0.1713705
"z_idosos",0.311712,0.311712,0.311712,0.311712,0,0.00652079856023481,0.7896584
"z_desp.saude",0.311284,0.311284,0.311284,0.311284,0,0.0129751808435834,0.91019776
"z_ivs.renda",0.308456,0.308456,0.308456,0.308456,0,0.00621412695701516,0.80756413
"z_desp.educ",0.305476,0.305476,0.305476,0.305476,0,-0.00154330067754822,0.48682057
"semiarido",0.304512,0.304512,0.304512,0.304512,0,0.0179541702872113,0.96846758
"z_pop.rural",0.30396,0.30396,0.30396,0.30396,0,0.00515643421930883,0.79529543
"z_int.asma",0.298536,0.298536,0.298536,0.298536,0,-0.000621103827768686,0.38892462
"z_tax.agua",0.297816,0.297816,0.297816,0.297816,0,0.00153015513190364,0.7165431
