"variavel","PIP_cadeia_1","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"z_ivs.renda",0.689822,0.689822,0.689822,0.689822,0,-0.163800427746984,0
"semiarido",0.55792,0.55792,0.55792,0.55792,0,-0.245802296701482,0
"z_idm",0.43147,0.43147,0.43147,0.43147,0,0.107234193982746,1
"z_idosos",0.404012,0.404012,0.404012,0.404012,0,-0.0711609891082726,0
"z_int.circ",0.323152,0.323152,0.323152,0.323152,0,-0.0491737405702989,0
"z_leitos1k",0.163486,0.163486,0.163486,0.163486,0,-0.0191893658176994,0.00013457
"z_pop.rural",0.159818,0.159818,0.159818,0.159818,0,-0.0186919262001417,0
"z_ivs.capital",0.131822,0.131822,0.131822,0.131822,0,0.0148392064134418,0.9645431
"z_ex.pobr",0.118236,0.118236,0.118236,0.118236,0,-0.0129672407450291,0.07211002
"z_sus1k",0.110654,0.110654,0.110654,0.110654,0,-0.00841014733161248,0.00075912
"aliadogov",0.106104,0.106104,0.106104,0.106104,0,0.0137578781195065,1
"z_ideb5",0.10062,0.10062,0.10062,0.10062,0,0.00746126480844837,1
"z_pibpc",0.097282,0.097282,0.097282,0.097282,0,-0.00780093659456294,0.08159783
"z_int.resp",0.097276,0.097276,0.097276,0.097276,0,-0.0072324784394907,0.04270324
"z_emprego",0.091192,0.091192,0.091192,0.091192,0,-0.00673171531153554,0.03252478
"z_idhm",0.089178,0.089178,0.089178,0.089178,0,0.0078352786596688,0.8361255
"z_int.diab",0.083798,0.083798,0.083798,0.083798,0,-0.00442696687939697,0.09709062
"z_votos",0.082144,0.082144,0.082144,0.082144,0,-0.00438679390445931,0
"z_ivs.infra",0.081922,0.081922,0.081922,0.081922,0,0.00416480476161908,0.9795171
"metrop",0.081918,0.081918,0.081918,0.081918,0,0.0143075646046531,0.92919749
"z_imuni",0.077828,0.077828,0.077828,0.077828,0,-0.00363109079500224,0
"z_int.asma",0.073686,0.073686,0.073686,0.073686,0,0.00195901645551718,0.69855875
"z_area",0.071784,0.071784,0.071784,0.071784,0,0.00270548813284164,0.94369219
"z_desp.saude",0.071782,0.071782,0.071782,0.071782,0,-0.00187591280118707,0.19704104
"z_desp.educ",0.071562,0.071562,0.071562,0.071562,0,-0.00284276754400551,0.03079847
"z_prof1k",0.070372,0.070372,0.070372,0.070372,0,-0.00256120659232216,0.12286137
"z_tax.agua",0.070188,0.070188,0.070188,0.070188,0,-0.00248123593191522,0.01122699
"z_eleitas.fem",0.069142,0.069142,0.069142,0.069142,0,-0.00242300111046345,0.05229817
"z_ideb9",0.06541,0.06541,0.06541,0.06541,0,0.00014723081626742,0.77202263
"z_tmi",0.064888,0.064888,0.064888,0.064888,0,0.00153332681324492,0.98921218
"z_ideb3",0.064836,0.064836,0.064836,0.064836,0,0.000780223046548739,0.71500401
"z_tax.hom",0.064692,0.064692,0.064692,0.064692,0,0.0017235310249372,0.92932666
"z_bolsaf",0.0628,0.0628,0.0628,0.0628,0,-0.000915558274790425,0.33038217
"z_densidade",0.061232,0.061232,0.061232,0.061232,0,-0.000101031941224333,0.5581722
"z_pop",0.06006,0.06006,0.06006,0.06006,0,0.00125740895913052,0.73826174
"z_energia100k",0.059036,0.059036,0.059036,0.059036,0,0.000470885789431722,0.61735212
