"variavel","PIP","Post Mean","Post SD","Cond.Pos.Sign","PIP_maior_igual_05"
"z_ivs.renda",0.689822,-0.163800427746984,0.130878497033238,0,TRUE
"semiarido",0.55792,-0.245802296701482,0.257506158755665,0,TRUE
"z_idm",0.43147,0.107234193982746,0.142761933566048,1,FALSE
"z_idosos",0.404012,-0.0711609891082726,0.100984234053818,0,FALSE
"z_int.circ",0.323152,-0.0491737405702989,0.0830345121833341,0,FALSE
"z_leitos1k",0.163486,-0.0191893658176994,0.0543106836865243,0.00013457,FALSE
"z_pop.rural",0.159818,-0.0186919262001417,0.0538270453022171,0,FALSE
"z_ivs.capital",0.131822,0.0148392064134418,0.0509827360487831,0.9645431,FALSE
"z_ex.pobr",0.118236,-0.0129672407450291,0.0536570222072876,0.07211002,FALSE
"z_sus1k",0.110654,-0.00841014733161248,0.0329286634405082,0.00075912,FALSE
"aliadogov",0.106104,0.0137578781195065,0.0554529898236726,1,FALSE
"z_ideb5",0.10062,0.00746126480844837,0.0311802676335986,1,FALSE
"z_pibpc",0.097282,-0.00780093659456294,0.037961915532244,0.08159783,FALSE
"z_int.resp",0.097276,-0.0072324784394907,0.033633886111764,0.04270324,FALSE
"z_emprego",0.091192,-0.00673171531153554,0.0341642377794885,0.03252478,FALSE
"z_idhm",0.089178,0.0078352786596688,0.0453121561400757,0.8361255,FALSE
"z_int.diab",0.083798,-0.00442696687939697,0.02688356660459,0.09709062,FALSE
"z_votos",0.082144,-0.00438679390445931,0.0224553950828979,0,FALSE
"z_ivs.infra",0.081922,0.00416480476161908,0.0242516946017965,0.9795171,FALSE
"metrop",0.081918,0.0143075646046531,0.0903300323651327,0.92919749,FALSE
"z_imuni",0.077828,-0.00363109079500224,0.0208424480985976,0,FALSE
"z_int.asma",0.073686,0.00195901645551718,0.0216789383115237,0.69855875,FALSE
"z_area",0.071784,0.00270548813284164,0.0197109838225892,0.94369219,FALSE
"z_desp.saude",0.071782,-0.00187591280118707,0.0210521080592924,0.19704104,FALSE
"z_desp.educ",0.071562,-0.00284276754400551,0.0210868444141462,0.03079847,FALSE
"z_prof1k",0.070372,-0.00256120659232216,0.0221014302701493,0.12286137,FALSE
"z_tax.agua",0.070188,-0.00248123593191522,0.01832934690259,0.01122699,FALSE
"z_eleitas.fem",0.069142,-0.00242300111046345,0.0210095863727634,0.05229817,FALSE
"z_ideb9",0.06541,0.00014723081626742,0.019874884585072,0.77202263,FALSE
"z_tmi",0.064888,0.00153332681324492,0.0161146148386453,0.98921218,FALSE
"z_ideb3",0.064836,0.000780223046548739,0.016647120935654,0.71500401,FALSE
"z_tax.hom",0.064692,0.0017235310249372,0.0174606564198045,0.92932666,FALSE
"z_bolsaf",0.0628,-0.000915558274790425,0.0196088776763197,0.33038217,FALSE
"z_densidade",0.061232,-0.000101031941224333,0.0266088687332718,0.5581722,FALSE
"z_pop",0.06006,0.00125740895913052,0.0268055089308895,0.73826174,FALSE
"z_energia100k",0.059036,0.000470885789431722,0.0190129899198402,0.61735212,FALSE
