"variavel","PIP_cadeia_1","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"z_idm",0.994868,0.994868,0.994868,0.994868,0,0.434820441536339,1
"z_leitos1k",0.990148,0.990148,0.990148,0.990148,0,-0.260781181709256,0
"metrop",0.975816,0.975816,0.975816,0.975816,0,-0.873440070437034,0
"z_int.circ",0.746688,0.746688,0.746688,0.746688,0,-0.132845000182797,0
"z_ivs.renda",0.725804,0.725804,0.725804,0.725804,0,-0.141824979154181,0
"z_idosos",0.684496,0.684496,0.684496,0.684496,0,-0.0947937970345799,0
"z_bolsaf",0.60746,0.60746,0.60746,0.60746,0,-0.096336018215861,0
"z_int.asma",0.563904,0.563904,0.563904,0.563904,0,0.0693128118019547,0.99988651
"z_tax.hom",0.555076,0.555076,0.555076,0.555076,0,0.0563559489494821,0.99997838
"z_ideb5",0.514836,0.514836,0.514836,0.514836,0,0.0457977138347027,0.99763031
"z_tax.agua",0.506816,0.506816,0.506816,0.506816,0,-0.0434990141617105,0
"z_sus1k",0.502164,0.502164,0.502164,0.502164,0,0.051104800902961,0.99999203
"semiarido",0.502056,0.502056,0.502056,0.502056,0,-0.109710079763109,0
"z_ideb9",0.487684,0.487684,0.487684,0.487684,0,0.0389447957544824,0.99690783
"z_pibpc",0.486188,0.486188,0.486188,0.486188,0,-0.0582669068927671,0.00214732
"z_ex.pobr",0.481492,0.481492,0.481492,0.481492,0,0.0823519874839051,0.96549891
"z_ideb3",0.437708,0.437708,0.437708,0.437708,0,-0.030491839641053,0.00142561
"z_emprego",0.4354,0.4354,0.4354,0.4354,0,-0.0444611319639907,0.00181902
"z_densidade",0.4216,0.4216,0.4216,0.4216,0,-0.0280831855262365,0.17274194
"z_pop",0.419108,0.419108,0.419108,0.419108,0,-0.0359060092290414,0.07790832
"z_ivs.infra",0.4185,0.4185,0.4185,0.4185,0,0.027974556500241,0.99617682
"z_int.diab",0.400816,0.400816,0.400816,0.400816,0,-0.0295732732035876,0.0250489
"z_prof1k",0.400772,0.400772,0.400772,0.400772,0,0.029902297500904,0.99106724
"z_pop.rural",0.395816,0.395816,0.395816,0.395816,0,-0.0298624138011543,0.00454757
"z_eleitas.fem",0.376432,0.376432,0.376432,0.376432,0,0.0165321569334854,0.98779062
"z_imuni",0.375084,0.375084,0.375084,0.375084,0,0.0159429877782394,0.99989336
"z_votos",0.350748,0.350748,0.350748,0.350748,0,0.00897708980307921,0.98307617
"z_int.resp",0.350536,0.350536,0.350536,0.350536,0,0.0152670170204333,0.9262615
"z_desp.educ",0.347204,0.347204,0.347204,0.347204,0,-0.0105760246407555,0.05844403
"z_ivs.capital",0.342876,0.342876,0.342876,0.342876,0,0.00430112145941644,0.69383684
"z_idhm",0.338324,0.338324,0.338324,0.338324,0,0.013213184294392,0.78321372
"z_tmi",0.338136,0.338136,0.338136,0.338136,0,-0.0086795713852057,0.00184541
"z_desp.saude",0.33652,0.33652,0.33652,0.33652,0,0.00665610325988746,0.74758112
"aliadogov",0.333156,0.333156,0.333156,0.333156,0,-0.0122648937941471,0.03235721
"z_energia100k",0.332112,0.332112,0.332112,0.332112,0,0.00774113031401398,0.81162981
"z_area",0.320756,0.320756,0.320756,0.320756,0,0.00196771544169818,0.65530185
