"variavel","PIP_cadeia_1","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"metrop",0.786096,0.786096,0.786096,0.786096,0,0.45286497807908,1
"z_eleitas.fem",0.722652,0.722652,0.722652,0.722652,0,-0.08849362914926,0
"z_imuni",0.620476,0.620476,0.620476,0.620476,0,-0.0583334661897183,0
"aliadogov",0.6022,0.6022,0.6022,0.6022,0,0.108028007594139,1
"z_ideb9",0.558908,0.558908,0.558908,0.558908,0,-0.0515345680471826,0
"z_leitos1k",0.557536,0.557536,0.557536,0.557536,0,0.0569835211938374,0.9999713
"z_ivs.capital",0.54522,0.54522,0.54522,0.54522,0,0.0665939164386362,1
"z_ex.pobr",0.544548,0.544548,0.544548,0.544548,0,-0.0826335021959346,0.00104307
"z_int.resp",0.530676,0.530676,0.530676,0.530676,0,-0.0502929720595118,2.261e-05
"z_bolsaf",0.529572,0.529572,0.529572,0.529572,0,0.0567793924864327,0.99842892
"z_sus1k",0.524312,0.524312,0.524312,0.524312,0,-0.0427979872579564,0
"z_ideb3",0.479712,0.479712,0.479712,0.479712,0,0.0307514213517462,0.99993329
"z_area",0.471136,0.471136,0.471136,0.471136,0,0.0298834225088925,0.9997453
"z_int.circ",0.461036,0.461036,0.461036,0.461036,0,0.0332402760970619,0.99795244
"z_idm",0.447576,0.447576,0.447576,0.447576,0,-0.0371613228341836,0.02295923
"z_emprego",0.445212,0.445212,0.445212,0.445212,0,-0.0324336981369378,0.00165315
"z_tax.hom",0.44072,0.44072,0.44072,0.44072,0,-0.0221967104482408,0.00952078
"z_pop",0.439452,0.439452,0.439452,0.439452,0,0.0215626495624997,0.84413315
"z_idhm",0.439444,0.439444,0.439444,0.439444,0,0.0340575136973067,0.88173237
"z_densidade",0.433324,0.433324,0.433324,0.433324,0,0.0231179762465916,0.87209571
"z_ivs.infra",0.431316,0.431316,0.431316,0.431316,0,-0.0208624100892011,0.01311336
"z_ideb5",0.429764,0.429764,0.429764,0.429764,0,0.00144515815522649,0.6638341
"z_energia100k",0.42268,0.42268,0.42268,0.42268,0,-0.0180582884568509,0.01634333
"z_tmi",0.418848,0.418848,0.418848,0.418848,0,0.0148328731289994,1
"z_prof1k",0.41312,0.41312,0.41312,0.41312,0,-0.0131632070878789,0.14656274
"z_desp.educ",0.405296,0.405296,0.405296,0.405296,0,0.00266052132590993,0.69944929
"z_pibpc",0.4049,0.4049,0.4049,0.4049,0,-0.00868633596611863,0.25316868
"semiarido",0.40318,0.40318,0.40318,0.40318,0,0.0132126061071873,0.85675877
"z_ivs.renda",0.403028,0.403028,0.403028,0.403028,0,0.0112565659734693,0.8528936
"z_desp.saude",0.403016,0.403016,0.403016,0.403016,0,0.00995066669760679,0.83720746
"z_pop.rural",0.39806,0.39806,0.39806,0.39806,0,-0.0060999551874889,0.36572376
"z_votos",0.397948,0.397948,0.397948,0.397948,0,-0.00548227120792052,0.16296602
"z_idosos",0.395912,0.395912,0.395912,0.395912,0,0.00853727625342941,0.88853078
"z_int.asma",0.394528,0.394528,0.394528,0.394528,0,-0.0046153921945499,0.21857004
"z_int.diab",0.388944,0.388944,0.388944,0.388944,0,0.00218034636204501,0.64868979
"z_tax.agua",0.384472,0.384472,0.384472,0.384472,0,-0.00309076669600959,0.16914626
