"variavel","PIP_cadeia_1","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"z_idm",0.904108,0.904108,0.904108,0.904108,0,0.32665565246015,1
"z_leitos1k",0.624596,0.624596,0.624596,0.624596,0,-0.116600243836248,0
"z_idosos",0.534292,0.534292,0.534292,0.534292,0,-0.0979343925104843,0
"z_ivs.renda",0.36922,0.36922,0.36922,0.36922,0,-0.0707902136321081,0
"semiarido",0.308012,0.308012,0.308012,0.308012,0,-0.100480673147839,0
"z_eleitas.fem",0.288392,0.288392,0.288392,0.288392,0,-0.0343558821068844,0
"z_emprego",0.258312,0.258312,0.258312,0.258312,0,-0.0403632508797919,0.00060392
"z_pibpc",0.234088,0.234088,0.234088,0.234088,0,-0.0351674822325344,0.01373842
"z_int.circ",0.233572,0.233572,0.233572,0.233572,0,-0.0312983499968286,6.85e-05
"z_ivs.capital",0.21104,0.21104,0.21104,0.21104,0,0.0305615935998397,0.99395375
"aliadogov",0.187924,0.187924,0.187924,0.187924,0,0.0326674723481975,1
"z_int.resp",0.182744,0.182744,0.182744,0.182744,0,-0.0196707631075061,0.00308628
"z_pop.rural",0.178128,0.178128,0.178128,0.178128,0,-0.018955907488754,0
"z_idhm",0.16764,0.16764,0.16764,0.16764,0,0.024763142203769,0.97465999
"z_int.diab",0.1639,0.1639,0.1639,0.1639,0,-0.0149189688842178,0.00024405
"z_tax.agua",0.162344,0.162344,0.162344,0.162344,0,-0.0127745572859624,0
"z_desp.educ",0.148148,0.148148,0.148148,0.148148,0,-0.0106629940670857,0.02737803
"z_ex.pobr",0.129604,0.129604,0.129604,0.129604,0,-0.0111154592633111,0.10123144
"z_area",0.128708,0.128708,0.128708,0.128708,0,0.00861860178651487,0.99965814
"z_ideb5",0.114324,0.114324,0.114324,0.114324,0,0.00672075708593059,0.9973059
"z_prof1k",0.112956,0.112956,0.112956,0.112956,0,-0.00487586120417678,0.3075888
"z_sus1k",0.109568,0.109568,0.109568,0.109568,0,-0.00493452470559907,0.11287967
"z_imuni",0.105444,0.105444,0.105444,0.105444,0,-0.00485723680719383,0
"z_int.asma",0.103412,0.103412,0.103412,0.103412,0,0.00491666604763129,0.90426643
"z_ideb3",0.096904,0.096904,0.096904,0.096904,0,0.00333832233226942,0.93164369
"z_bolsaf",0.095352,0.095352,0.095352,0.095352,0,-0.00244331970814328,0.21620941
"z_desp.saude",0.094884,0.094884,0.094884,0.094884,0,-0.0008112376508244,0.48876523
"z_ivs.infra",0.094504,0.094504,0.094504,0.094504,0,0.00226389126619016,0.74528062
"z_densidade",0.092528,0.092528,0.092528,0.092528,0,-0.00237827724269256,0.22043057
"z_tmi",0.092048,0.092048,0.092048,0.092048,0,0.00279840779125069,0.97618634
"z_tax.hom",0.091364,0.091364,0.091364,0.091364,0,0.00368549412700576,0.96567576
"z_energia100k",0.091,0.091,0.091,0.091,0,0.000298336543712653,0.5138022
"z_ideb9",0.09092,0.09092,0.09092,0.09092,0,-0.00284122405643583,0.17712275
"z_votos",0.089928,0.089928,0.089928,0.089928,0,-0.00244709509972095,0.10439463
"metrop",0.089236,0.089236,0.089236,0.089236,0,-0.000676980750293278,0.43802949
"z_pop",0.084444,0.084444,0.084444,0.084444,0,0.000322020040575951,0.389181
