"variavel","PIP","PIP_minima_imputacoes","PIP_maxima_imputacoes","Post Mean","Post SD","Cond.Pos.Sign","PIP_maior_igual_05"
"z_idm",0.9958508,0.993796,0.997038,0.433776964382814,0.125048952100819,1,TRUE
"z_leitos1k",0.9871508,0.984756,0.988092,-0.260663050316691,0.085612904417357,0,TRUE
"metrop",0.9785192,0.977344,0.979708,-0.876597934618362,0.30106651456867,0,TRUE
"z_int.circ",0.7417344,0.7335,0.748402,-0.132147507861735,0.106358895646145,0,TRUE
"z_ivs.renda",0.7174044,0.70598,0.73042,-0.139858360399991,0.121018358978214,0,TRUE
"z_idosos",0.6909988,0.687528,0.698244,-0.096356428077814,0.0938651135413539,0,TRUE
"z_bolsaf",0.610032,0.594236,0.619746,-0.0955888146098665,0.101631706744789,3.27823632202901e-06,TRUE
"z_int.asma",0.5513524,0.529444,0.563504,0.0674635142735474,0.0817989060258538,0.999875215387248,TRUE
"z_tax.hom",0.5424676,0.52519,0.552562,0.0551903152545851,0.0699493813296594,0.999921100501988,TRUE
"z_tax.agua",0.4988668,0.490892,0.505548,-0.0427881973357886,0.060266843817387,0,FALSE
"z_ideb5",0.49788,0.480008,0.508868,0.0445292075389534,0.0715182039848443,0.99751666851937,FALSE
"semiarido",0.4909104,0.476784,0.496604,-0.10735698330966,0.164200216511575,0,FALSE
"z_ideb9",0.484802,0.472446,0.49378,0.0393794633237541,0.0691691267513481,0.996962060564956,FALSE
"z_sus1k",0.4832656,0.465958,0.503072,0.0491368680779211,0.0727068701811946,0.999858462994155,FALSE
"z_pibpc",0.4721808,0.450912,0.486956,-0.0567104764098051,0.0887220300845634,0.00147401009798789,FALSE
"z_ex.pobr",0.4641708,0.437964,0.477496,0.079205422066118,0.126913665428561,0.963740934636009,FALSE
"z_ideb3",0.425418,0.410662,0.438996,-0.0299296453855012,0.054959999884071,0.00103051317160064,FALSE
"z_emprego",0.4193652,0.403648,0.433608,-0.042974228912714,0.0801873991420048,0.00150227082908167,FALSE
"z_densidade",0.4173828,0.407956,0.425212,-0.0279909207769711,0.125623822907084,0.1723980941931,FALSE
"z_pop",0.415026,0.403094,0.423952,-0.0353487290125697,0.127304187609878,0.0797472919948437,FALSE
"z_ivs.infra",0.4106004,0.40232,0.419346,0.0278528917394862,0.0572442536921123,0.997746714187234,FALSE
"z_prof1k",0.3965,0.38209,0.407424,0.0296827988306121,0.0675724273483814,0.988254225893508,FALSE
"z_int.diab",0.390502,0.370706,0.40608,-0.0289186407299232,0.061864673446363,0.0239455859653574,FALSE
"z_pop.rural",0.3859716,0.363048,0.39764,-0.0289410873351271,0.0625990606864836,0.00580042669363238,FALSE
"z_eleitas.fem",0.37056,0.350638,0.38736,0.0162491555741087,0.0450311775455872,0.986232730781282,FALSE
"z_imuni",0.3669032,0.358122,0.374404,0.0158410141278606,0.0425371408317023,0.999765608018878,FALSE
"z_int.resp",0.3474144,0.332992,0.36486,0.0153505894969542,0.0530249769132294,0.928301186048915,FALSE
"z_desp.educ",0.3361264,0.320706,0.34392,-0.0102464815489604,0.044726385004222,0.0580376891356109,FALSE
"z_votos",0.3317628,0.3135,0.340056,0.00849052845617787,0.036293836251939,0.983772741930524,FALSE
"z_tmi",0.3290712,0.315796,0.345832,-0.00877371263068537,0.0359467987237388,0.0305307785069249,FALSE
"z_idhm",0.32768,0.314466,0.340732,0.0124599283525664,0.0750082875531582,0.780784912295752,FALSE
"z_desp.saude",0.3259788,0.308594,0.33772,0.00645854292527769,0.0506481311009291,0.745313498053837,FALSE
"z_ivs.capital",0.3243788,0.313382,0.339664,0.00408639966306275,0.054238966330837,0.69730204256214,FALSE
"z_energia100k",0.32078,0.303662,0.332704,0.00738196080897166,0.0489935218235523,0.810888458299744,FALSE
"z_area",0.3159496,0.302378,0.326856,0.00167455964109544,0.0380085957455168,0.635474771220081,FALSE
"aliadogov",0.3152328,0.302742,0.331872,-0.011575946350686,0.0675237027740662,0.0316667537305889,FALSE
