"variavel","PIP","PIP_minima_imputacoes","PIP_maxima_imputacoes","Post Mean","Post SD","Cond.Pos.Sign","PIP_maior_igual_05"
"metrop",0.761936,0.723224,0.7862,0.443018676364416,0.34102130274035,1,TRUE
"z_eleitas.fem",0.7033592,0.67262,0.722652,-0.0870806159271818,0.0793966834521606,0,TRUE
"z_imuni",0.607,0.574124,0.623144,-0.0582571651272881,0.0681813989224402,0,TRUE
"aliadogov",0.579952,0.537808,0.602344,0.105216953224888,0.126894587924853,1,TRUE
"z_ideb9",0.5375512,0.501896,0.558908,-0.0498735219678283,0.0723057922168349,0,TRUE
"z_leitos1k",0.5297944,0.489668,0.557536,0.0538862380694322,0.0759488083497196,0.999956207924599,TRUE
"z_ivs.capital",0.521276,0.489064,0.54522,0.0634565134661696,0.0890612220266475,0.999960096504255,TRUE
"z_ex.pobr",0.5097824,0.47702,0.544548,-0.0770347497983511,0.113619032978137,0.00151907839008958,TRUE
"z_sus1k",0.5050864,0.46216,0.526904,-0.0416541260085017,0.0663621172344348,0,TRUE
"z_int.resp",0.498256,0.458644,0.530676,-0.0473764385791827,0.0714423698645363,8.18858963745544e-05,FALSE
"z_bolsaf",0.4974576,0.470096,0.529572,0.0527144863651456,0.0787102111187778,0.998499571644828,FALSE
"z_ideb3",0.4496704,0.410364,0.479712,0.0286081611323978,0.0527040439896939,0.999782952322892,FALSE
"z_area",0.4465,0.41106,0.471136,0.0280695617745583,0.0533779899711778,0.999612989855606,FALSE
"z_int.circ",0.4393712,0.407368,0.461488,0.0317901172980452,0.0634267423824156,0.997490961057766,FALSE
"z_emprego",0.4267064,0.39334,0.445212,-0.0310801940468359,0.069676589694297,0.00209230672664858,FALSE
"z_tax.hom",0.418416,0.38512,0.44072,-0.0207601887634939,0.0478507312960803,0.0138082649557952,FALSE
"z_idm",0.4167456,0.37942,0.447576,-0.0336355009562637,0.0807759408240839,0.0295182486407823,FALSE
"z_densidade",0.4150624,0.381496,0.435032,0.0224988493166986,0.129979365138277,0.877086434717247,FALSE
"z_ivs.infra",0.4146648,0.382768,0.434756,-0.0202606078143028,0.0505828102040599,0.014706818209889,FALSE
"z_pop",0.4127176,0.381912,0.439452,0.0198935116387977,0.130053544088743,0.835306274238094,FALSE
"z_idhm",0.4114232,0.384028,0.439444,0.0325400647584846,0.092056942375946,0.889075773539343,FALSE
"z_tmi",0.4028648,0.363588,0.44492,0.0147705231104967,0.0406767019172001,1,FALSE
"z_ideb5",0.3980728,0.365492,0.429764,0.00104703287778582,0.0549396971198132,0.655031941952588,FALSE
"z_energia100k",0.3949176,0.365204,0.42268,-0.0167754712774013,0.0544723434399093,0.0192485723029412,FALSE
"z_prof1k",0.3924136,0.366316,0.41312,-0.0129803810160024,0.0569708485719893,0.138107343318274,FALSE
"z_pibpc",0.387744,0.359904,0.416996,-0.00866270722473842,0.057327556503509,0.246531730906,FALSE
"z_ivs.renda",0.383376,0.354144,0.403028,0.0104950397670664,0.0623973855473892,0.842527441918367,FALSE
"z_idosos",0.3799376,0.346084,0.398792,0.00824314273141528,0.0459480086722959,0.891026315137096,FALSE
"z_pop.rural",0.3795216,0.353652,0.39806,-0.006319422903495,0.0499885695064468,0.354697070611401,FALSE
"z_votos",0.3764448,0.342224,0.397948,-0.0054075820229017,0.0363543430975772,0.182394869463209,FALSE
"z_desp.saude",0.3763128,0.35558,0.403016,0.00878170882781832,0.0525732256019015,0.821654751018344,FALSE
"semiarido",0.3750592,0.345244,0.40318,0.0120671076214766,0.0967513583251388,0.849203539364623,FALSE
"z_desp.educ",0.3744008,0.340784,0.405296,0.0021741653944045,0.043378947490625,0.686947248142782,FALSE
"z_int.asma",0.3704472,0.344176,0.394528,-0.00403115011834155,0.0414347448724221,0.235801485521197,FALSE
"z_int.diab",0.3704032,0.336492,0.388944,0.0019337616718764,0.0451189258424639,0.645070023073192,FALSE
"z_tax.agua",0.363252,0.334792,0.384472,-0.00301806895002905,0.0339442294476359,0.159853766799687,FALSE
