"variavel","PIP_cadeia_1","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"z_idm",0.997038,0.997038,0.997038,0.997038,0,0.436225952010617,1
"z_leitos1k",0.988044,0.988044,0.988044,0.988044,0,-0.260040549324075,0
"metrop",0.979708,0.979708,0.979708,0.979708,0,-0.87889610414077,0
"z_int.circ",0.748402,0.748402,0.748402,0.748402,0,-0.133599330154103,0
"z_ivs.renda",0.716226,0.716226,0.716226,0.716226,0,-0.138819559450469,0
"z_idosos",0.688744,0.688744,0.688744,0.688744,0,-0.0955002425483581,0
"z_bolsaf",0.619746,0.619746,0.619746,0.619746,0,-0.097115109814243,6.45e-06
"z_int.asma",0.563504,0.563504,0.563504,0.563504,0,0.069438685613407,0.99980124
"z_tax.hom",0.552562,0.552562,0.552562,0.552562,0,0.0565193073399027,0.9999819
"z_tax.agua",0.50361,0.50361,0.50361,0.50361,0,-0.0435145668829512,0
"z_ideb5",0.503244,0.503244,0.503244,0.503244,0,0.0449940364793604,0.9979811
"semiarido",0.496604,0.496604,0.496604,0.496604,0,-0.10782775060698,0
"z_ideb9",0.489948,0.489948,0.489948,0.489948,0,0.0397514753588839,0.99690579
"z_sus1k",0.482322,0.482322,0.482322,0.482322,0,0.0492475815251838,0.99995024
"z_pibpc",0.470954,0.470954,0.470954,0.470954,0,-0.0568837824075263,0.00114236
"z_ex.pobr",0.468854,0.468854,0.468854,0.468854,0,0.0804816187936705,0.96347264
"z_ideb3",0.42802,0.42802,0.42802,0.42802,0,-0.0302156281325273,0.00051399
"z_emprego",0.423176,0.423176,0.423176,0.423176,0,-0.0432035200840271,0.00097832
"z_densidade",0.420402,0.420402,0.420402,0.420402,0,-0.0281572574196633,0.17498965
"z_ivs.infra",0.419346,0.419346,0.419346,0.419346,0,0.0284850500752294,0.99763441
"z_pop",0.418342,0.418342,0.418342,0.418342,0,-0.0357622064081703,0.08130668
"z_prof1k",0.404456,0.404456,0.404456,0.404456,0,0.0294643710583941,0.98699982
"z_pop.rural",0.395216,0.395216,0.395216,0.395216,0,-0.0298237135780239,0.00525788
"z_int.diab",0.391952,0.391952,0.391952,0.391952,0,-0.0290917984897028,0.02438564
"z_eleitas.fem",0.38736,0.38736,0.38736,0.38736,0,0.0175584119210795,0.99071665
"z_imuni",0.369542,0.369542,0.369542,0.369542,0,0.0156039781153778,0.99970775
"z_int.resp",0.343698,0.343698,0.343698,0.343698,0,0.0154838521719644,0.93124196
"z_desp.educ",0.34012,0.34012,0.34012,0.34012,0,-0.0104668223697588,0.05523933
"z_votos",0.338106,0.338106,0.338106,0.338106,0,0.00853829675162924,0.98403459
"z_idhm",0.3306,0.3306,0.3306,0.3306,0,0.0121375112216213,0.77805203
"z_ivs.capital",0.326322,0.326322,0.326322,0.326322,0,0.003653684384521,0.68592985
"z_desp.saude",0.322874,0.322874,0.322874,0.322874,0,0.00552993766737288,0.68227234
"z_energia100k",0.322318,0.322318,0.322318,0.322318,0,0.00770561651511464,0.81742255
"aliadogov",0.32187,0.32187,0.32187,0.32187,0,-0.0117592481306465,0.03397645
"z_area",0.320172,0.320172,0.320172,0.320172,0,0.00169661820811488,0.63882538
"z_tmi",0.315796,0.315796,0.315796,0.315796,0,-0.00292171393420746,0.15562578
