"variavel","PIP_cadeia_1","PIP_cadeia_2","PIP_cadeia_3","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"z_idm",0.997842,0.997514,0.9964,0.997252,0.9964,0.997842,0.00144200000000005,0.453778698178671,1
"z_leitos1k",0.988642,0.988592,0.988734,0.988656,0.988592,0.988734,0.000141999999999975,-0.257871835283344,0
"metrop",0.98416,0.981414,0.984116,0.98323,0.981414,0.98416,0.00274600000000003,-0.88816135889488,0
"z_int.circ",0.774156,0.765458,0.78223,0.773948,0.765458,0.78223,0.016772,-0.137634203695785,0
"z_ivs.renda",0.74357,0.748474,0.75742,0.749821333333333,0.74357,0.75742,0.01385,-0.147405413544703,0
"z_idosos",0.669014,0.68183,0.68036,0.677068,0.669014,0.68183,0.012816,-0.0860755288127658,0
"z_bolsaf",0.668548,0.671788,0.684722,0.675019333333333,0.668548,0.684722,0.016174,-0.111820981601948,0
"z_int.asma",0.60976,0.599336,0.623118,0.610738,0.599336,0.623118,0.023782,0.0776706482530715,0.99987512
"z_tax.hom",0.592048,0.593616,0.601238,0.595634,0.592048,0.601238,0.00919000000000003,0.0623162335100816,0.999935083333333
"z_tax.agua",0.546822,0.546834,0.562698,0.552118,0.546822,0.562698,0.015876,-0.0480287551037321,0
"z_sus1k",0.534648,0.533912,0.557686,0.542082,0.533912,0.557686,0.023774,0.0584802388332448,0.99994969
"semiarido",0.528274,0.525364,0.537644,0.530427333333333,0.525364,0.537644,0.01228,-0.115589153630742,0
"z_ideb5",0.528498,0.522512,0.531956,0.527655333333333,0.522512,0.531956,0.00944400000000001,0.0459633711767435,0.997651636666667
"z_pibpc",0.514252,0.511346,0.526438,0.517345333333333,0.511346,0.526438,0.015092,-0.0632687915307538,0.000980133333333333
"z_ex.pobr",0.510682,0.511616,0.529164,0.517154,0.510682,0.529164,0.018482,0.0907602807430161,0.97309641
"z_ideb9",0.508278,0.508496,0.52574,0.514171333333333,0.508278,0.52574,0.017462,0.0412265234381291,0.99723229
"z_con.energia",0.479222,0.484922,0.496644,0.486929333333333,0.479222,0.496644,0.017422,-0.279572256435171,0.00278547666666667
"z_ideb3",0.473756,0.468638,0.481408,0.474600666666667,0.468638,0.481408,0.01277,-0.0344377738526769,0.00054886
"z_ivs.infra",0.449336,0.46033,0.465658,0.458441333333333,0.449336,0.465658,0.016322,0.0330545854163981,0.998824886666667
"z_pop",0.452982,0.450896,0.464686,0.456188,0.450896,0.464686,0.01379,0.197060716756955,0.63692209
"z_int.diab",0.442736,0.448794,0.462604,0.451378,0.442736,0.462604,0.019868,-0.0383798250413985,0.01404551
"z_emprego",0.431932,0.433448,0.445648,0.437009333333333,0.431932,0.445648,0.013716,-0.0371526734476027,0.00402275666666667
"z_pop.rural",0.419456,0.42908,0.44905,0.432528666666667,0.419456,0.44905,0.029594,-0.033242708540443,0.00439886333333333
"z_prof1k",0.421436,0.41648,0.43631,0.424742,0.41648,0.43631,0.01983,0.028865129159659,0.988098966666667
"z_eleitas.fem",0.397266,0.408714,0.41772,0.4079,0.397266,0.41772,0.020454,0.018748090936541,0.991712296666667
"z_densidade",0.397318,0.406446,0.415412,0.406392,0.397318,0.415412,0.018094,-0.000412485276257206,0.503834313333333
"z_imuni",0.380606,0.392756,0.41052,0.394627333333333,0.380606,0.41052,0.029914,0.0149851008932105,0.99905305
"z_int.resp",0.375682,0.382922,0.391792,0.383465333333333,0.375682,0.391792,0.01611,0.0168381542184646,0.933496266666667
"z_desp.educ",0.364646,0.376856,0.377202,0.372901333333333,0.364646,0.377202,0.012556,-0.0109399944238867,0.0542178166666667
"z_votos",0.365758,0.36702,0.375602,0.36946,0.365758,0.375602,0.00984399999999996,0.0103128794766538,0.989122336666667
"z_desp.saude",0.355126,0.361126,0.375902,0.364051333333333,0.355126,0.375902,0.020776,0.00805740206423407,0.8075558
"z_idhm",0.35372,0.351282,0.38101,0.362004,0.351282,0.38101,0.029728,0.0131316821006808,0.7996203
"z_ivs.capital",0.350958,0.363728,0.368864,0.361183333333333,0.350958,0.368864,0.017906,0.00597783315520548,0.732777933333333
"aliadogov",0.33877,0.347104,0.361728,0.349200666666667,0.33877,0.361728,0.022958,-0.0110460032387584,0.0402719933333333
"z_area",0.33572,0.345278,0.362548,0.347848666666667,0.33572,0.362548,0.026828,0.000579046330917209,0.570438306666667
