"variavel","PIP_cadeia_1","PIP_cadeia_2","PIP_cadeia_3","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"metrop",0.781322,0.749698,0.784196,0.771738666666667,0.749698,0.784196,0.034498,0.449496082184549,1
"z_eleitas.fem",0.752404,0.71081,0.744706,0.735973333333333,0.71081,0.752404,0.0415939999999999,-0.0936745759731322,0
"z_imuni",0.637864,0.613534,0.636594,0.629330666666667,0.613534,0.637864,0.02433,-0.0602446971951583,0
"aliadogov",0.609982,0.576024,0.594722,0.593576,0.576024,0.609982,0.033958,0.106748783633075,1
"z_ideb9",0.564328,0.527318,0.55761,0.549752,0.527318,0.564328,0.0370100000000001,-0.0518116227662958,0
"z_leitos1k",0.559096,0.524382,0.56461,0.549362666666667,0.524382,0.56461,0.0402279999999999,0.055718644601154,0.999945913333333
"z_ivs.capital",0.560342,0.525386,0.545972,0.5439,0.525386,0.560342,0.034956,0.0681742578057039,0.99997665
"z_int.resp",0.540914,0.49579,0.527192,0.521298666666667,0.49579,0.540914,0.045124,-0.0517027099109338,0.000130006666666667
"z_ex.pobr",0.536026,0.500208,0.524336,0.52019,0.500208,0.536026,0.035818,-0.0775368185264513,0.00162187666666667
"z_bolsaf",0.52899,0.498434,0.526606,0.51801,0.498434,0.52899,0.030556,0.0561682690572265,0.998801716666667
"z_sus1k",0.521172,0.498108,0.518076,0.512452,0.498108,0.521172,0.023064,-0.0414683661372219,1.28666666666667e-06
"z_emprego",0.47623,0.445496,0.469086,0.463604,0.445496,0.47623,0.030734,-0.0389701765081423,0.00127813
"z_ideb3",0.475296,0.445292,0.464216,0.461601333333333,0.445292,0.475296,0.030004,0.0285865312636846,0.999766156666667
"z_area",0.471286,0.441832,0.460366,0.457828,0.441832,0.471286,0.029454,0.0289044983414559,0.999565313333333
"z_int.circ",0.465758,0.438628,0.453312,0.452566,0.438628,0.465758,0.02713,0.0317096446968657,0.99685591
"z_idm",0.459484,0.427472,0.45435,0.447102,0.427472,0.459484,0.032012,-0.0415895777692796,0.01780927
"z_tax.hom",0.455402,0.428206,0.4411,0.441569333333333,0.428206,0.455402,0.027196,-0.02325850018518,0.0114746466666667
"z_ivs.infra",0.447356,0.415174,0.436276,0.432935333333333,0.415174,0.447356,0.032182,-0.0221467055671076,0.0133153466666667
"z_idhm",0.441118,0.414442,0.43313,0.429563333333333,0.414442,0.441118,0.026676,0.0345217636058309,0.88820644
"z_pop",0.43325,0.40326,0.423102,0.419870666666667,0.40326,0.43325,0.02999,0.0627439696963678,0.88747299
"z_con.energia",0.425696,0.392992,0.420304,0.412997333333333,0.392992,0.425696,0.032704,-0.0392905507973462,0.37830109
"z_ideb5",0.42494,0.392812,0.419034,0.412262,0.392812,0.42494,0.032128,0.000576563465637166,0.649931263333333
"z_densidade",0.427112,0.38816,0.416556,0.410609333333333,0.38816,0.427112,0.038952,0.0278776963761051,0.88902007
"z_prof1k",0.42005,0.386368,0.409818,0.405412,0.386368,0.42005,0.033682,-0.011506541494294,0.16055204
"z_pibpc",0.413678,0.3878,0.411288,0.404255333333333,0.3878,0.413678,0.025878,-0.00881581282768716,0.269387956666667
"z_pop.rural",0.412672,0.38295,0.401416,0.399012666666667,0.38295,0.412672,0.029722,-0.00600426999735464,0.379150043333333
"z_idosos",0.408238,0.379116,0.399718,0.395690666666667,0.379116,0.408238,0.029122,0.00865915076731196,0.88037513
"z_ivs.renda",0.408248,0.381282,0.396412,0.395314,0.381282,0.408248,0.026966,0.00981409374010514,0.830921923333333
"z_votos",0.398494,0.368486,0.408378,0.391786,0.368486,0.408378,0.039892,-0.00609730900322459,0.10231196
"z_desp.saude",0.398852,0.369676,0.398472,0.389,0.369676,0.398852,0.029176,0.0103876878453047,0.83978148
"z_desp.educ",0.405522,0.36589,0.391576,0.387662666666667,0.36589,0.405522,0.039632,0.00363257704239369,0.733780523333333
"semiarido",0.401394,0.369898,0.38854,0.386610666666667,0.369898,0.401394,0.031496,0.0135814322291553,0.869353686666667
"z_int.diab",0.398368,0.368028,0.392802,0.386399333333333,0.368028,0.398368,0.03034,0.00374987631248531,0.707238163333333
"z_int.asma",0.395226,0.37461,0.387622,0.385819333333333,0.37461,0.395226,0.020616,-0.00459198103345051,0.225054076666667
"z_tax.agua",0.382894,0.36762,0.387248,0.379254,0.36762,0.387248,0.019628,-0.00219191414039983,0.249704823333333
