"variavel","PIP_cadeia_1","PIP_cadeia_2","PIP_cadeia_3","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"z_idm",0.911186,0.915866,0.910028,0.91236,0.910028,0.915866,0.00583800000000001,0.32792956609557,1
"z_leitos1k",0.612488,0.616104,0.625884,0.618158666666667,0.612488,0.625884,0.013396,-0.113893156316987,0
"z_idosos",0.529098,0.520794,0.53086,0.526917333333333,0.520794,0.53086,0.010066,-0.0952548716809041,0
"z_ivs.renda",0.379276,0.369996,0.38047,0.376580666666667,0.369996,0.38047,0.010474,-0.0725823247869596,0
"z_eleitas.fem",0.31514,0.318638,0.317606,0.317128,0.31514,0.318638,0.003498,-0.0379060635959625,0
"semiarido",0.302124,0.304182,0.299624,0.301976666666667,0.299624,0.304182,0.00455800000000001,-0.0973195766723766,0
"z_emprego",0.261234,0.259448,0.274232,0.264971333333333,0.259448,0.274232,0.014784,-0.0409412176030423,0.000742716666666667
"z_int.circ",0.25766,0.25265,0.25867,0.256326666666667,0.25265,0.25867,0.00602000000000003,-0.0337660465057161,3.869e-05
"z_pibpc",0.237428,0.235282,0.234868,0.235859333333333,0.234868,0.237428,0.00256000000000001,-0.0347564250175682,0.0141067933333333
"z_ivs.capital",0.221558,0.21954,0.228006,0.223034666666667,0.21954,0.228006,0.00846599999999997,0.0329534147986017,0.994231263333333
"z_int.resp",0.20115,0.205478,0.210016,0.205548,0.20115,0.210016,0.00886600000000001,-0.0224242061836835,0.00215457333333333
"aliadogov",0.196626,0.19186,0.203574,0.197353333333333,0.19186,0.203574,0.011714,0.0342388597530617,1
"z_pop.rural",0.193944,0.1831,0.183792,0.186945333333333,0.1831,0.193944,0.010844,-0.0195399903122755,3.27533333333333e-05
"z_int.diab",0.175026,0.174266,0.181578,0.176956666666667,0.174266,0.181578,0.00731199999999999,-0.0159537293487959,0.00043642
"z_idhm",0.172046,0.173148,0.179866,0.17502,0.172046,0.179866,0.00781999999999999,0.0258464969347752,0.9767526
"z_tax.agua",0.173706,0.166772,0.165576,0.168684666666667,0.165576,0.173706,0.00813,-0.0132155039751607,0
"z_desp.educ",0.156722,0.149314,0.153788,0.153274666666667,0.149314,0.156722,0.007408,-0.0106968317239088,0.02357691
"z_ex.pobr",0.13675,0.130972,0.144426,0.137382666666667,0.130972,0.144426,0.013454,-0.0116346146782639,0.104324323333333
"z_area",0.136798,0.135516,0.134962,0.135758666666667,0.134962,0.136798,0.001836,0.00878240668678491,0.997707946666667
"z_prof1k",0.122188,0.124936,0.126244,0.124456,0.122188,0.126244,0.00405599999999999,-0.00450000582299876,0.33488292
"z_ideb5",0.1213,0.11431,0.126014,0.120541333333333,0.11431,0.126014,0.011704,0.00722986628030063,0.996176396666667
"z_con.energia",0.116782,0.118288,0.122812,0.119294,0.116782,0.122812,0.00603000000000001,-0.0572581713233367,0.108875773333333
"z_pop",0.115332,0.112692,0.1223,0.116774666666667,0.112692,0.1223,0.00960800000000001,0.0529787536178761,0.6147035
"z_int.asma",0.111996,0.112418,0.12136,0.115258,0.111996,0.12136,0.009364,0.00560248272776681,0.909568136666667
"z_sus1k",0.111936,0.111552,0.119652,0.11438,0.111552,0.119652,0.0081,-0.00487099265001414,0.136825323333333
"z_imuni",0.115924,0.106582,0.119352,0.113952666666667,0.106582,0.119352,0.01277,-0.00535219367877281,0
"z_tax.hom",0.108422,0.107888,0.111252,0.109187333333333,0.107888,0.111252,0.00336400000000001,0.00408320548213728,0.958215493333333
"z_desp.saude",0.106688,0.106942,0.111392,0.108340666666667,0.106688,0.111392,0.004704,-0.000506636877285685,0.504074966666667
"z_ideb3",0.100728,0.102546,0.109712,0.104328666666667,0.100728,0.109712,0.00898400000000001,0.00328411555129642,0.91877558
"z_ivs.infra",0.10179,0.103516,0.104604,0.103303333333333,0.10179,0.104604,0.002814,0.00261633156437285,0.772438096666667
"z_votos",0.101088,0.102298,0.103674,0.102353333333333,0.101088,0.103674,0.002586,-0.00262779789611923,0.114389353333333
"z_ideb9",0.099214,0.101122,0.102792,0.101042666666667,0.099214,0.102792,0.003578,-0.0030152251505137,0.198161186666667
"z_bolsaf",0.10139,0.097586,0.103064,0.10068,0.097586,0.103064,0.005478,-0.00270591441133383,0.196269463333333
"z_densidade",0.092004,0.098334,0.10072,0.0970193333333333,0.092004,0.10072,0.008716,-0.000145464726557969,0.332070876666667
"metrop",0.097988,0.091088,0.101156,0.096744,0.091088,0.101156,0.010068,-0.00143583217874293,0.41495034
