"desfecho","nome_variavel","variavel_codigo","PIP","media_posterior","desvio_padrao_posterior","prob_sinal_positivo","direcao","pip_maior_igual_05"
"Casos","Índice de Desenvolvimento Municipal","z_idm",0.9965,0.4391,0.1255,1,"positiva",TRUE
"Casos","Leitos vinculados ao SUS","z_leitos1k",0.9888,-0.2597,0.0848,0,"negativa",TRUE
"Casos","Município integrante de região metropolitana","metrop",0.9807,-0.882,0.2988,0,"negativa",TRUE
"Casos","Internações por doenças do aparelho circulatório","z_int.circ",0.7572,-0.1358,0.1062,0,"negativa",TRUE
"Casos","IVS Renda e Trabalho","z_ivs.renda",0.7337,-0.143,0.1208,0,"negativa",TRUE
"Casos","Proporção da população com 60 anos ou mais","z_idosos",0.6988,-0.0961,0.0932,0,"negativa",TRUE
"Casos","População beneficiária do Programa Bolsa Família","z_bolsaf",0.6363,-0.1008,0.1025,0,"negativa",TRUE
"Casos","Internações por asma","z_int.asma",0.5763,0.0716,0.083,0.9998,"positiva",TRUE
"Casos","Taxa de homicídios","z_tax.hom",0.5662,0.0581,0.0708,0.9999,"positiva",TRUE
"Casos","Cobertura urbana de abastecimento de água","z_tax.agua",0.5249,-0.0455,0.0613,0,"negativa",TRUE
"Casos","IDEB dos anos iniciais do ensino fundamental","z_ideb5",0.5142,0.046,0.0724,0.9979,"positiva",TRUE
"Casos","Município integrante do semiárido","semiarido",0.5068,-0.1102,0.1649,0,"negativa",TRUE
"Casos","Unidades de saúde vinculadas ao SUS","z_sus1k",0.5042,0.0518,0.074,0.9999,"positiva",TRUE
"Casos","IDEB dos anos finais do ensino fundamental","z_ideb9",0.4991,0.04,0.0698,0.9964,"positiva",FALSE
"Casos","Produto Interno Bruto per capita","z_pibpc",0.4899,-0.0595,0.0901,0.0013,"negativa",FALSE
"Casos","Proporção da população em extrema pobreza","z_ex.pobr",0.4881,0.0855,0.1301,0.9688,"positiva",FALSE
"Casos","IDEB do 3º ano do ensino médio","z_ideb3",0.4463,-0.0318,0.0562,0.0011,"negativa",FALSE
"Casos","Densidade demográfica","z_densidade",0.4369,-0.0296,0.1291,0.1721,"negativa",FALSE
"Casos","Proporção da população em empregos formais","z_emprego",0.4309,-0.0441,0.081,0.0011,"negativa",FALSE
"Casos","População estimada","z_pop",0.4296,-0.037,0.1307,0.08,"negativa",FALSE
"Casos","IVS Infraestrutura Urbana","z_ivs.infra",0.4258,0.029,0.0581,0.9976,"positiva",FALSE
"Casos","Internações por diabetes mellitus","z_int.diab",0.413,-0.0307,0.0634,0.0231,"negativa",FALSE
"Casos","Profissionais de saúde vinculados ao SUS","z_prof1k",0.41,0.0293,0.0674,0.9886,"positiva",FALSE
"Casos","Proporção da população rural","z_pop.rural",0.4078,-0.0312,0.0644,0.0052,"negativa",FALSE
"Casos","Proporção de mulheres eleitas","z_eleitas.fem",0.3863,0.0176,0.0459,0.9905,"positiva",FALSE
"Casos","Cobertura média de imunização em menores de um ano","z_imuni",0.3817,0.0161,0.043,0.9998,"positiva",FALSE
"Casos","Internações por doenças do aparelho respiratório","z_int.resp",0.3651,0.0167,0.0545,0.9385,"positiva",FALSE
"Casos","Despesa municipal com educação e cultura","z_desp.educ",0.355,-0.0109,0.046,0.0535,"negativa",FALSE
"Casos","Proporção de votos válidos do prefeito eleito","z_votos",0.3464,0.0088,0.037,0.983,"positiva",FALSE
"Casos","Índice de Desenvolvimento Humano Municipal","z_idhm",0.3452,0.0125,0.0768,0.7772,"positiva",FALSE
"Casos","IVS Capital Humano","z_ivs.capital",0.3433,0.004,0.0555,0.6934,"positiva",FALSE
"Casos","Despesa municipal com saúde e saneamento","z_desp.saude",0.3389,0.0055,0.0511,0.6766,"positiva",FALSE
"Casos","Consumo de energia elétrica por 100 mil habitantes","z_energia100k",0.3368,0.008,0.0502,0.8153,"positiva",FALSE
"Casos","Área territorial","z_area",0.3296,0.0018,0.0389,0.6409,"positiva",FALSE
"Casos","Alinhamento partidário do prefeito com o governo federal","aliadogov",0.3293,-0.0123,0.069,0.0295,"negativa",FALSE
